,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
0,0.0737739784765968,92.99424184261036,1799717.1053184217,1828550.978083177,1829060.6059227749,1828897.8377557748,1823155.0067255888,1827997.0154226983,1821001.9538047283,1828331.7256117298,1824731.084682751,18277.69627844649
1,0.121742140704756,138.55898653998418,1799640.25868368,1828476.8678378202,1828986.5691672466,1828823.676564944,1823080.676891876,1827922.87447234,1820930.209798296,1828257.5844190451,1824658.214361183,18276.95636406387
2,0.317566237933477,324.57142857142856,1801404.8500373287,1830266.709377232,1830777.080529604,1830613.053211256,1824868.516017725,1829712.4361644422,1822741.4094978906,1830047.143760017,1826459.3038568448,18294.865612666592
3,0.117469053559749,134.5,1800393.5673796125,1829245.9458356206,1829756.0666437927,1829592.463520548,1823848.5008977326,1828691.7772031259,1821712.6925184678,1829026.4857074104,1825434.343676359,18284.653927266816
4,0.2705480822803562,279.90909090909093,1801347.3487475377,1830208.9047663757,1830719.2679944253,1830555.2541072145,1824810.7351177044,1829654.6348647235,1822683.3553528937,1829989.342489622,1826401.3669909565,18294.28743835768
5,0.2284252703717453,239.8968185726569,1801239.9338838025,1830076.5507647705,1830586.246849504,1830423.3629616024,1824680.3738003557,1829522.5595065826,1822529.5823669054,1829857.2694698193,1826257.770976521,18292.953107128524
6,0.1828575260501753,196.61222020568664,1802444.2918637116,1831302.2006610848,1831812.4625291566,1831648.6202420848,1825904.332402307,1830747.9730192493,1823773.2971985464,1831082.6810150063,1827492.927894473,18305.218756019527
7,0.3654431603230238,370.0495049504951,1802109.933797743,1830971.827043176,1831482.1967073877,1831318.1718367687,1825573.6373821557,1830417.5544146695,1823446.41682685,1830752.2620153225,1827164.3797179838,18301.91676461538
8,0.0094922715423187,31.933333333333334,1800193.2284306157,1829041.4891600905,1829551.5004366797,1829388.0828604638,1823644.3715488403,1828487.3662826177,1821504.7353311188,1828822.075173161,1825228.0455390774,18282.60758886437
9,0.1863249658738721,199.9059259259259,1800669.9088172081,1829506.970216015,1830016.6801381481,1829853.7728776112,1824110.7524969291,1828952.973205912,1821960.496652676,1829287.68312352,1825688.4370754706,18287.25752584888
10,0.0406372992817119,61.517857142857146,1800078.8838918332,1828915.305266572,1829425.000075073,1829262.1184693954,1823519.1333461516,1828361.314602753,1821368.3989098866,1828696.0245708497,1825096.531513717,18281.3406325425
11,0.2959048452723385,303.9953676896352,1802409.9613590967,1831264.842181812,1831775.023113342,1831611.3179361266,1825867.215591948,1830710.648336649,1823733.3414801527,1831045.3566249027,1827454.2057385014,18304.84386165743
