,beaches,latitude,longitude,City_x,City_y,City
124,"980 E Orangethorpe Ave Ste A,Anaheim, CA 92801",33.859171,-117.908857,Anaheim,Anaheim,Anaheim
125,"17851 Pacific Coast Hwy,Huntington Beach, CA 92649",33.696417,-118.048569,Anaheim,Anaheim,Anaheim
126,"309 Palm St,Newport Beach, CA 92661",33.603196,-117.900155,Anaheim,Anaheim,Anaheim
127,"100 Goldenwest St,Huntington Beach, CA 92648",33.678349,-117.999037,Anaheim,Anaheim,Anaheim
128,"103 Pacific Coast Hwy,Huntington Beach, CA 92648",33.655199,-118.000304,Anaheim,Anaheim,Anaheim
129,"5000 E Ocean Blvd,Long Beach, CA 90803",33.755358,-118.13969,Anaheim,Anaheim,Anaheim
130,"100 Main Street,Seal Beach, CA 90740",33.75283,-118.069722,Anaheim,Anaheim,Anaheim
131,"2140 E Balboa Blvd,Newport Beach, CA 92661",33.598877,-117.883329,Anaheim,Anaheim,Anaheim
132,"2600 Newport Blvd Ste 122,Newport Beach, CA 92663",33.612203,-117.928794,Anaheim,Anaheim,Anaheim
133,"2618 San Miguel Dr # 110,Newport Beach, CA 92660",33.59153,-117.886307,Anaheim,Anaheim,Anaheim
134,"21601 Pacific Coast Hwy,Huntington Beach, CA 92646",33.639631,-117.974254,Anaheim,Anaheim,Anaheim
135,"3001 Ocean Blvd,Corona Del Mar, CA 92625",33.59808,-117.87311,Anaheim,Anaheim,Anaheim
136,"572 Flora St,Laguna Beach, CA 92651",33.531603,-117.768614,Anaheim,Anaheim,Anaheim
137,"1341 Philadelphia St,Pomona, CA 91766",34.03547,-117.728642,Anaheim,Anaheim,Anaheim
138,"31131 Coast Hwy,Laguna Beach, CA 92651",33.544192,-117.765976,Anaheim,Anaheim,Anaheim
139,"15501 Arrow Hwy,Baldwin Park, CA 91706",34.083408,-117.96888,Anaheim,Anaheim,Anaheim
140,"8471 N Coast Hwy,Laguna Beach, CA 92651",33.544192,-117.765976,Anaheim,Anaheim,Anaheim
141,"619 Thalia St,Laguna Beach, CA 92651",33.544192,-117.765976,Anaheim,Anaheim,Anaheim
142,"200 Santa Monica Pier,Santa Monica, CA 90401",34.021711,-118.479052,Anaheim,Anaheim,Anaheim
143,"415 Palisades Beach Rd,Santa Monica, CA 90402",34.021711,-118.479052,Anaheim,Anaheim,Anaheim
144,"1800 Ocean Front Walk,Venice, CA 90291",33.985813,-118.472843,Anaheim,Anaheim,Anaheim
145,"17000 Pacific Coast Hwy,Pacific Palisades, CA 90272",34.039306,-118.550341,Anaheim,Anaheim,Anaheim
146,"20 Bicknell Ave,Santa Monica, CA 90405",34.021711,-118.479052,Anaheim,Anaheim,Anaheim
147,"114 Pier Ave,,Hermosa Beach, CA 90254",33.86212,-118.399579,Anaheim,Anaheim,Anaheim
148,"998 S Robertson Blvd Ste 202,Los Angeles, CA 90035",34.059691,-118.383416,Anaheim,Anaheim,Anaheim
149,"12001 Vista Del Mar,Playa Del Rey, CA 90293",33.927686,-118.433646,Anaheim,Anaheim,Anaheim
150,"2742 Creston Dr,Los Angeles, CA 90068",34.119144,-118.324703,Anaheim,Anaheim,Anaheim
151,"225W Avenida Calafia,San Clemente, CA 92672",33.449613,-117.61144,Anaheim,Anaheim,Anaheim
152,"3030 Avenida Del Presidente,San Clemente, CA 92672",33.403568,-117.598045,Anaheim,Anaheim,Anaheim
153,"Ocean Ave At Colorado Ave,Santa Monica, CA 90401",37.727343,-122.466883,Anaheim,Anaheim,Anaheim
154,"Pacific Coast Hwy,Los Angeles, CA 90272",34.05513,-118.25703,Anaheim,Anaheim,Anaheim
155,"1 Pico Blvd,Santa Monica, CA 90405",34.007204,-118.491461,Anaheim,Anaheim,Anaheim
156,"25300 Dana Point Harbor Dr,Dana Point, CA 92629",33.463468,-117.686586,Anaheim,Anaheim,Anaheim
157,"215 San Juan Ave,Venice, CA 90291",33.990177,-118.471895,Anaheim,Anaheim,Anaheim
158,"150 Metropole Ave,Avalon, CA 90704",33.337257,-118.33327,Anaheim,Anaheim,Anaheim
159,"20829 Entrada Rd,Topanga, CA 90290",34.092737,-118.588917,Anaheim,Anaheim,Anaheim
160,"1300 Highland Ave,Manhattan Beach, CA 90266",33.886572,-118.410368,Anaheim,Anaheim,Anaheim
161,"1916 4th St,Santa Monica, CA 90405",34.009052,-118.487116,Anaheim,Anaheim,Anaheim
162,"6300 Balboa Blvd,Van Nuys, CA 91316",34.186307,-118.459015,Anaheim,Anaheim,Anaheim
163,"34535 Via Verde,Dana Point, CA 92624",33.460986,-117.670743,Anaheim,Anaheim,Anaheim
164,"221 S Ola Vis Ste 202,San Clemente, CA 92672",33.425205,-117.613669,Anaheim,Anaheim,Anaheim
165,"1 Pier Ave,Hermosa Beach, CA 90254",33.865192,-118.395467,Anaheim,Anaheim,Anaheim
166,"903 Via Coronel,Palos Verdes Estates, CA 90274",33.780135,-118.412899,Anaheim,Anaheim,Anaheim
167,"714 California Ave,Venice, CA 90291",33.99331,-118.46405,Anaheim,Anaheim,Anaheim
168,"5841 Crest Rd,Rancho Palos Verdes, CA 90275",33.759699,-118.378448,Anaheim,Anaheim,Anaheim
169,"117 Manhattan Beach Blvd 117 Manhattan Beach Blvd.,Manhattan Beach, CA 90266",33.889488,-118.397131,Anaheim,Anaheim,Anaheim
170,"34551 Puerto Pl,Dana Point, CA 92629",33.448678,-117.7118,Anaheim,Anaheim,Anaheim
171,"3621 The Strand,Manhattan Beach, CA 90266",33.889488,-118.397131,Anaheim,Anaheim,Anaheim
245,"5000 E Ocean Blvd,Long Beach, CA 90803Long Beach, CA 90803",33.755358,-118.13969,Long Beach,Long Beach,Long Beach
246,"100 Main Street,Seal Beach, CA 90740",33.75283,-118.069722,Long Beach,Long Beach,Long Beach
247,"17851 Pacific Coast Hwy,Huntington Beach, CA 92649",33.696417,-118.048569,Long Beach,Long Beach,Long Beach
248,"100 Goldenwest St,Huntington Beach, CA 92648",33.678349,-117.999037,Long Beach,Long Beach,Long Beach
249,"903 Via Coronel,Palos Verdes Estates, CA 90274",33.780135,-118.412899,Long Beach,Long Beach,Long Beach
250,"5841 Crest Rd,Rancho Palos Verdes, CA 90275",33.759699,-118.378448,Long Beach,Long Beach,Long Beach
251,"103 Pacific Coast Hwy,Huntington Beach, CA 92648",33.655199,-118.000304,Long Beach,Long Beach,Long Beach
252,"114 Pier Ave,,Hermosa Beach, CA 90254",33.86212,-118.399579,Long Beach,Long Beach,Long Beach
253,"1300 Highland Ave,Manhattan Beach, CA 90266",33.886572,-118.410368,Long Beach,Long Beach,Long Beach
254,"21601 Pacific Coast Hwy,Huntington Beach, CA 92646",33.639631,-117.974254,Long Beach,Long Beach,Long Beach
255,"1 Pier Ave,Hermosa Beach, CA 90254",33.865192,-118.395467,Long Beach,Long Beach,Long Beach
256,"117 Manhattan Beach Blvd 117 Manhattan Beach Blvd.,Manhattan Beach, CA 90266",33.889488,-118.397131,Long Beach,Long Beach,Long Beach
257,"3621 The Strand,Manhattan Beach, CA 90266",33.889488,-118.397131,Long Beach,Long Beach,Long Beach
258,"309 Palm St,Newport Beach, CA 92661",33.603196,-117.900155,Long Beach,Long Beach,Long Beach
259,"200 Santa Monica Pier,Santa Monica, CA 90401",34.021711,-118.479052,Long Beach,Long Beach,Long Beach
260,"415 Palisades Beach Rd,Santa Monica, CA 90402",34.021711,-118.479052,Long Beach,Long Beach,Long Beach
261,"1800 Ocean Front Walk,Venice, CA 90291",33.985813,-118.472843,Long Beach,Long Beach,Long Beach
262,"20 Bicknell Ave,Santa Monica, CA 90405",34.021711,-118.479052,Long Beach,Long Beach,Long Beach
263,"998 S Robertson Blvd Ste 202,Los Angeles, CA 90035",34.059691,-118.383416,Long Beach,Long Beach,Long Beach
264,"12001 Vista Del Mar,Playa Del Rey, CA 90293",33.927686,-118.433646,Long Beach,Long Beach,Long Beach
265,"Ocean Ave At Colorado Ave,Santa Monica, CA 90401",37.727343,-122.466883,Long Beach,Long Beach,Long Beach
266,"2742 Creston Dr,Los Angeles, CA 90068",34.119144,-118.324703,Long Beach,Long Beach,Long Beach
267,"1 Pico Blvd,Santa Monica, CA 90405",34.007204,-118.491461,Long Beach,Long Beach,Long Beach
268,"215 San Juan Ave,Venice, CA 90291",33.990177,-118.471895,Long Beach,Long Beach,Long Beach
269,"980 E Orangethorpe Ave Ste A,Anaheim, CA 92801",33.859171,-117.908857,Long Beach,Long Beach,Long Beach
270,"2140 E Balboa Blvd,Newport Beach, CA 92661",33.598877,-117.883329,Long Beach,Long Beach,Long Beach
271,"1916 4th St,Santa Monica, CA 90405",34.009052,-118.487116,Long Beach,Long Beach,Long Beach
272,"8471 N Coast Hwy,Laguna Beach, CA 92651",33.544192,-117.765976,Long Beach,Long Beach,Long Beach
273,"2600 Newport Blvd Ste 122,Newport Beach, CA 92663",33.612203,-117.928794,Long Beach,Long Beach,Long Beach
274,"2618 San Miguel Dr # 110,Newport Beach, CA 92660",33.59153,-117.886307,Long Beach,Long Beach,Long Beach
275,"3001 Ocean Blvd,Corona Del Mar, CA 92625",33.59808,-117.87311,Long Beach,Long Beach,Long Beach
276,"714 California Ave,Venice, CA 90291",33.99331,-118.46405,Long Beach,Long Beach,Long Beach
277,"17000 Pacific Coast Hwy,Pacific Palisades, CA 90272",34.039306,-118.550341,Long Beach,Long Beach,Long Beach
278,"572 Flora St,Laguna Beach, CA 92651",33.531603,-117.768614,Long Beach,Long Beach,Long Beach
279,"Pacific Coast Hwy,Los Angeles, CA 90272",34.05513,-118.25703,Long Beach,Long Beach,Long Beach
280,"31131 Coast Hwy,Laguna Beach, CA 92651",33.544192,-117.765976,Long Beach,Long Beach,Long Beach
281,"1341 Philadelphia St,Pomona, CA 91766",34.03547,-117.728642,Anaheim,Anaheim,Anaheim
282,"225W Avenida Calafia,San Clemente, CA 92672",33.449613,-117.61144,Long Beach,Long Beach,Long Beach
283,"3030 Avenida Del Presidente,San Clemente, CA 92672",33.403568,-117.598045,Long Beach,Long Beach,Long Beach
284,"32215 Pacific Coast Hwy,Malibu, CA 90265",34.040108,-118.874925,Long Beach,Long Beach,Long Beach
285,"15501 Arrow Hwy,Baldwin Park, CA 91706",34.083408,-117.96888,Long Beach,Long Beach,Long Beach
286,"150 Metropole Ave,Avalon, CA 90704",33.337257,-118.33327,Long Beach,Long Beach,Long Beach
287,"20829 Entrada Rd,Topanga, CA 90290",34.092737,-118.588917,Long Beach,Long Beach,Long Beach
288,"25300 Dana Point Harbor Dr,Dana Point, CA 92629",33.463468,-117.686586,Anaheim,Anaheim,Anaheim
289,"6300 Balboa Blvd,Van Nuys, CA 91316",34.186307,-118.459015,Anaheim,Anaheim,Anaheim
290,"34535 Via Verde,Dana Point, CA 92624",33.460986,-117.670743,Long Beach,Long Beach,Long Beach
291,"221 S Ola Vis Ste 202,San Clemente, CA 92672",33.425205,-117.613669,Long Beach,Long Beach,Long Beach
292,"30000 Pacific Coast Hwy,Malibu, CA 90265",34.020773,-118.809751,Anaheim,Anaheim,Anaheim
293,"26000 Pacific Coast Hwy,Malibu, CA 90265",34.020773,-118.809751,Long Beach,Long Beach,Long Beach
294,"7103 Westward Beach Rd,Malibu, CA 90265",34.020773,-118.809751,Long Beach,Long Beach,Long Beach
295,"32900 Pacific Coast Hwy,Malibu, CA 90265",34.020773,-118.809751,Long Beach,Long Beach,Long Beach
296,"619 Thalia St,Laguna Beach, CA 92651",33.544192,-117.765976,Anaheim,Anaheim,Anaheim
297,"34551 Puerto Pl,Dana Point, CA 92629",33.448678,-117.7118,Long Beach,Long Beach,Long Beach
298,"7401 Birdview Ave,Malibu, CA 90265",34.020773,-118.809751,Long Beach,Long Beach,Long Beach
379,"6300 S Lake Shore Dr,Chicago, IL 60649",41.87897,-87.66063,Chicago,Chicago,Chicago
380,"5800 N Lake Shore Dr,Chicago, IL 60657",41.87897,-87.66063,Chicago,Chicago,Chicago
381,"1152 N State St,Chicago, IL 60610",41.87897,-87.66063,Chicago,Chicago,Chicago
382,"3100 N Lake Shore Dr,Chicago, IL 60657",41.937944,-87.638048,Chicago,Chicago,Chicago
383,"1001 N Lake Shore Dr,Chicago, IL 60611",41.87897,-87.66063,Chicago,Chicago,Chicago
384,"5200 N Lake Shore Dr,Chicago, IL 60686",41.87897,-87.66063,Chicago,Chicago,Chicago
385,"1000 N Lake Shore Plz,Chicago, IL 60611",41.87897,-87.66063,Chicago,Chicago,Chicago
386,"201 E Sea Horse Dr,Waukegan, IL 60085",42.3657,-87.850166,Chicago,Chicago,Chicago
387,"2 W Dunes,Beverly Shores, IN 46301",41.672576,-86.986189,Chicago,Chicago,Chicago
388,"400 S Water St,Batavia, IL 60510",41.855835,-88.296112,Chicago,Chicago,Chicago
389,"175 Burlington Beach Rd,Valparaiso, IN 46383",41.479326,-87.053553,Chicago,Chicago,Chicago
509,"400 S Water St,Batavia, IL 60510",41.855835,-88.296112,Naperville,Naperville,Naperville
510,"618 E Garfield St,Waterman, IL 60556",41.767341,-88.768723,Naperville,Naperville,Naperville
511,"6300 S Lake Shore Dr,Chicago, IL 60649",41.87897,-87.66063,Naperville,Naperville,Naperville
512,"5800 N Lake Shore Dr,Chicago, IL 60657",41.87897,-87.66063,Naperville,Naperville,Naperville
513,"1152 N State St,Chicago, IL 60610",41.87897,-87.66063,Naperville,Naperville,Naperville
514,"3100 N Lake Shore Dr,Chicago, IL 60657",41.937944,-87.638048,Naperville,Naperville,Naperville
515,"1001 N Lake Shore Dr,Chicago, IL 60611",41.87897,-87.66063,Naperville,Naperville,Naperville
516,"5200 N Lake Shore Dr,Chicago, IL 60686",41.87897,-87.66063,Naperville,Naperville,Naperville
517,"1000 N Lake Shore Plz,Chicago, IL 60611",41.87897,-87.66063,Naperville,Naperville,Naperville
518,"8002 Harlem Rd,Loves Park, IL 61111",42.354155,-88.990858,Naperville,Naperville,Naperville
519,"201 E Sea Horse Dr,Waukegan, IL 60085",42.3657,-87.850166,Naperville,Naperville,Naperville
520,"1452 Wells St,Lake Geneva, WI 53147",42.569239,-88.417362,Naperville,Naperville,Naperville
521,"175 Burlington Beach Rd,Valparaiso, IN 46383",41.479326,-87.053553,Naperville,Naperville,Naperville
568,"400 S Water St,Batavia, IL 60510",41.855835,-88.296112,Elgin,Elgin,Elgin
569,"618 E Garfield St,Waterman, IL 60556",41.767341,-88.768723,Elgin,Elgin,Elgin
570,"201 E Sea Horse Dr,Waukegan, IL 60085",42.3657,-87.850166,Elgin,Elgin,Elgin
571,"5800 N Lake Shore Dr,Chicago, IL 60657",41.87897,-87.66063,Elgin,Elgin,Elgin
572,"6300 S Lake Shore Dr,Chicago, IL 60649",41.87897,-87.66063,Elgin,Elgin,Elgin
573,"1152 N State St,Chicago, IL 60610",41.87897,-87.66063,Elgin,Elgin,Elgin
574,"3100 N Lake Shore Dr,Chicago, IL 60657",41.937944,-87.638048,Elgin,Elgin,Elgin
575,"1452 Wells St,Lake Geneva, WI 53147",42.569239,-88.417362,Elgin,Elgin,Elgin
576,"1001 N Lake Shore Dr,Chicago, IL 60611",41.87897,-87.66063,Elgin,Elgin,Elgin
577,"5200 N Lake Shore Dr,Chicago, IL 60686",41.87897,-87.66063,Elgin,Elgin,Elgin
578,"1000 N Lake Shore Plz,Chicago, IL 60611",41.87897,-87.66063,Elgin,Elgin,Elgin
579,"8002 Harlem Rd,Loves Park, IL 61111",42.354155,-88.990858,Elgin,Elgin,Elgin
