,Address,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
1461,"543 W 126th Pl, Chicago, IL 60628",0.004675007078743751,Chicago,41.663983,-87.635885,1042.0,92.99424184261036,0.07377397847659689,17997.171053184218,18285.50978083177,18290.60605922775,18288.97837755775,18231.55006725589,18279.970154226983,18210.019538047283,18283.317256117298,18247.31084682751,18277.696278446492
1462,"150 E 123rd St, Chicago, IL 60628",0.008442995240249293,Chicago,41.671069,-87.618324,1263.0,138.55898653998418,0.12174214070475607,17996.4025868368,18284.7686783782,18289.865691672465,18288.23676564944,18230.806768918756,18279.2287447234,18209.30209798296,18282.57584419045,18246.58214361183,18276.95636406387
1463,"1560 N Sandburg Ter, Unit 1104J, Chicago, IL 60610",0.013701775132747425,Chicago,41.91007,-87.632389,875.0,324.57142857142856,0.31756623793347705,18014.048500373287,18302.667093772317,18307.77080529604,18306.130532112562,18248.685160177254,18297.124361644426,18227.414094978907,18300.47143760017,18264.593038568448,18294.865612666592
1464,"5471 S Ingleside Ave, Apt 2W, Chicago, IL 60615",0.006489044913220172,Chicago,41.795831,-87.602314,1000.0,134.5,0.11746905355974903,18003.935673796124,18292.459458356207,18297.560666437927,18295.924635205476,18238.485008977324,18286.91777203126,18217.126925184682,18290.264857074104,18254.34343676359,18284.653927266816
1465,"1221 N Dearborn St, Apt 1204S, Chicago, IL 60610",0.014854847054130043,Chicago,41.904649,-87.629637,1100.0,279.90909090909093,0.2705480822803562,18013.473487475378,18302.089047663754,18307.192679944255,18305.552541072146,18248.107351177045,18296.546348647233,18226.833553528937,18299.89342489622,18264.013669909564,18294.287438357682
1466,"6023 S Kostner Ave, Chicago, IL 60629",0.013460546697311731,Chicago,41.783306,-87.732316,1163.0,239.8968185726569,0.22842527037174531,18012.399338838026,18300.765507647702,18305.862468495037,18304.233629616025,18246.803738003553,18295.225595065825,18225.295823669054,18298.572694698192,18262.57770976521,18292.953107128524
1467,"4609 N Avers Ave, Chicago, IL 60625",0.015679848303320115,Chicago,41.965003,-87.723919,1653.0,196.61222020568664,0.1828575260501753,18024.442918637113,18313.022006610852,18318.124625291566,18316.48620242085,18259.04332402307,18307.479730192495,18237.732971985464,18310.82681015006,18274.929278944735,18305.218756019527
1468,"2116 W Cullom Ave, Unit 201, Chicago, IL 60618",0.028850920878109015,Chicago,41.959724,-87.682454,1616.0,370.0495049504951,0.3654431603230238,18021.09933797743,18309.71827043176,18314.821967073873,18313.181718367687,18255.736373821554,18304.175544146696,18234.4641682685,18307.522620153224,18271.643797179833,18301.91676461538
1469,"7235 S Evans Ave, Chicago, IL 60619",0.0023109684114739496,Chicago,41.762992,-87.606249,1500.0,31.933333333333334,0.009492271542318777,18001.932284306156,18290.414891600904,18295.515004366793,18293.880828604633,18236.443715488404,18284.873662826176,18215.047353311187,18288.22075173161,18252.280455390774,18282.607588864375
1470,"8133 S Washtenaw Ave, Chicago, IL 60652",0.013020208311267415,Chicago,41.745352,-87.68972,1350.0,199.9059259259259,0.18632496587387215,18006.69908817208,18295.069702160148,18300.16680138148,18298.53772877611,18241.107524969295,18289.52973205912,18219.604966526756,18292.876831235197,18256.884370754706,18287.257525848876
1471,"10611 S May St, Chicago, IL 60643",0.0033241278403038648,Chicago,41.700978,-87.650419,1120.0,61.517857142857146,0.04063729928171196,18000.78883891833,18289.153052665722,18294.250000750726,18292.621184693955,18235.191333461513,18283.613146027532,18213.683989098867,18286.9602457085,18250.965315137175,18281.3406325425
1472,"3721 N Kildare Ave, Chicago, IL 60641",0.02532898572074788,Chicago,41.948767,-87.734885,1727.0,303.9953676896352,0.2959048452723385,18024.099613590966,18312.648421818118,18317.75023113342,18316.113179361266,18258.672155919478,18307.106483366486,18237.333414801527,18310.453566249027,18274.542057385013,18304.84386165743
1473,"5316 S Kilpatrick Ave, Chicago, IL 60632",0.010131594288299153,Chicago,41.796128,-87.740748,732.0,286.88524590163934,0.2778922106549114,18013.89708959743,18302.268335055225,18307.365426662414,18305.736366200454,18248.30617300336,18296.72836775713,18226.80271654953,18300.075466954604,18264.08270471452,18294.45614579725
1474,"5523 W Rosedale Ave, Chicago, IL 60646",0.01929827483485553,Chicago,41.986564,-87.765898,961.0,416.2330905306972,0.4140628056234153,18028.957323322233,18317.51423847362,18322.616248297123,18320.97885636618,18263.537368807796,18311.97221604213,18242.2052427829,18315.31929820071,18279.41113922566,18309.710002300126
1475,"11660 S Lowe Ave, Chicago, IL 60628",0.0077193099339422115,Chicago,41.68226,-87.638933,2070.0,77.29468599033817,0.057246313347920255,17998.661527963694,18287.01741422903,18292.114146715754,18290.485695967298,18233.056341700383,18281.477597792076,18211.54161754113,18284.824698187615,18248.826094874938,18279.204645756712
1476,"5130 S Austin Ave, Chicago, IL 60638",0.017368447351369973,Chicago,41.798916,-87.772615,1065.0,338.0281690140845,0.3317327851818534,18016.380096347784,18304.719291233658,18309.81551667794,18308.187922667676,18250.759715601824,18299.179685745876,18229.22564427079,18302.52678779937,18266.519009629264,18296.9057015545
1477,"2507 N Halsted St, Apt 4, Chicago, IL 60614",0.02653512789792635,Chicago,41.927545,-87.648479,1892.0,290.69767441860466,0.28190573450541573,18016.4201630099,18305.040564241444,18310.14431609965,18308.503974335243,18251.058507769794,18299.49781515111,18229.788651196333,18302.8448909562,18266.967132928436,18297.23914820539
1478,"5330 N Oak Park Ave, Chicago, IL 60656",0.015197391432448729,Chicago,41.978133,-87.796656,1056.0,298.29545454545456,0.2899042770654408,18030.578376463232,18319.09192498292,18324.192768495923,18322.557352014883,18265.118536178983,18313.550389509488,18243.745318975223,18316.897475829777,18280.969126747917,18311.285801757036
1479,"2627 S Shields Ave, Chicago, IL 60616",0.03787286436340397,Chicago,41.844626,-87.635129,3600.0,218.05555555555554,0.20543193957113193,18009.6883498408,18298.23059539688,18303.332278039597,18301.69544234511,18244.25472291567,18292.68871059671,18222.912796648587,18296.03579394206,18260.12243708557,18290.42583156584
1480,"633 S Plymouth Ct, Apt 308, Chicago, IL 60605",0.01104826234295479,Chicago,41.873479,-87.628403,941.0,243.35812964930923,0.23206915628287506,18011.21443270512,18299.79643830723,18304.899180046457,18303.26055008653,18245.8174023162,18294.254111203165,18224.512530264554,18297.60119072064,18261.706098878276,18291.993388019902
1481,"5117 S Kimbark Ave, Unit 1N, Chicago, IL 60615",0.013267563948963175,Chicago,41.801784,-87.594622,1450.0,189.6551724137931,0.17553351272963452,18003.79790702138,18292.33686308753,18297.438477728567,18295.801757838653,18238.361199869432,18286.795006992983,18217.017402590856,18290.142090585316,18254.227698186078,18284.531989758805
1482,"55 W Schiller St, Chicago, IL 60610",0.12013176084697566,Chicago,41.907668,-87.630969,4000.0,622.5,0.6312097388815492,18013.779319439243,18302.39679035071,18307.50047274085,18305.860248942736,18248.414943988388,18296.854070399124,18227.142879272884,18300.201146462754,18264.322250282767,18294.59526211736
1483,"100 E Huron St, Apt 2001, Chicago, IL 60611",0.015679848303320115,Chicago,41.89533,-87.624927,1026.0,316.76413255360626,0.3093471280836693,18012.486509144623,18301.09683153921,18306.20032696221,18304.56042005102,18247.115544555443,18295.554189708422,18225.83702733345,18298.90126646302,18263.019169553943,18293.29500082739
1484,"1136 W Lill Ave, Chicago, IL 60614",0.1107238518649836,Chicago,41.928304,-87.657597,5300.0,433.0188679245283,0.4317339875536734,18017.12738982084,18305.73857638009,18310.84207916152,18309.20215930031,18251.757262542247,18300.195931233924,18230.47859701114,18303.543007958608,18267.66092844089,18297.936757165506
1485,"165 N Canal St, Apt 909, Chicago, IL 60606",0.01929827483485553,Chicago,41.885084,-87.639398,1200.0,333.3333333333333,0.32679030956688954,18012.811655709284,18301.394523450508,18306.497282836204,18304.858622815565,18247.4154330979,18295.852188894918,18226.11104068624,18299.199268347144,18263.30444366231,18293.59150157706
1486,"9247 S Union Ave, Chicago, IL 60620",0.012346071325598824,Chicago,41.725602,-87.640548,1306.0,195.9418070444104,0.18215175040074333,18001.793173033537,18290.195934485186,18295.29391075268,18293.66335342883,18236.2311414091,18284.655598197787,18214.75979518886,18288.002694439718,18252.025496875212,18282.385176612057
1487,"525 N Bishop St, Apt 17, Chicago, IL 60642",0.0433728726913378,Chicago,41.89169,-87.66345,2576.0,348.99068322981367,0.3432735424893097,18014.998007673727,18303.561723007682,18308.663962283917,18307.02618311687,18249.584183020506,18298.019605499492,18228.261335932086,18301.366686838282,18265.462822663827,18295.757859333007
1488,"1701 W 85th St, Chicago, IL 60620",0.015679848303320115,Chicago,41.739137,-87.665758,1128.0,288.12056737588654,0.27919269200895336,18004.545584558615,18292.935689144128,18298.033317305893,18296.403349203956,18238.9719334186,18287.395498150992,18217.488127891396,18290.74259556227,18254.75932077811,18285.124368186756
1489,"7940 S Wentworth Ave, Chicago, IL 60620",0.019293450266146813,Chicago,41.749663,-87.62977,1900.0,210.47368421052633,0.19745014493831015,18002.693528884247,18291.13519867272,18296.234213178846,18294.601897442943,18237.167302484195,18285.594428601536,18215.73232005248,18288.941521310102,18252.98223511489,18283.326119607067
1490,"2743 N Greenview Ave, Chicago, IL 60614",0.05041674300606007,Chicago,41.931892,-87.665612,3000.0,348.3333333333333,0.342581519156699,18017.952471924356,18306.558829652833,18311.662200365525,18310.022504161472,18252.577909126117,18301.016239599154,18231.29453345003,18304.36331680974,18268.47893530488,18298.756796626556
1491,"8500 S Keeler Ave, Chicago, IL 60652",0.015438619867884423,Chicago,41.738281,-87.72675,1222.0,261.8657937806874,0.2515530498373011,18008.86715327778,18297.1889355371,18302.28472059947,18300.657873055618,18243.23068439396,18291.6495144821,18221.681817265406,18294.99661797606,18258.98141337879,18289.374634697666
1492,"3216 N Pioneer Ave, Chicago, IL 60634",0.020504417012034,Chicago,41.938238,-87.831607,1650.0,257.57575757575756,0.24703672577997327,18030.31113953351,18318.74145139556,18323.84006796645,18322.20842329497,18264.77471493097,18313.200846108382,18243.323345424327,18316.547940162873,18280.581127547593,18310.931726368584
1493,"4855 N Hoyne Ave, Apt 1S, Chicago, IL 60625",0.010589928315626971,Chicago,41.970384,-87.681322,950.0,231.05263157894737,0.2191145763404697,18021.760473361905,18310.39258827066,18315.496635562242,18313.855792719347,18256.409644494688,18304.84971557143,18235.149695301716,18308.196790277478,18272.32401208368,18302.59164992393
1494,"12459 S Stewart Ave, Chicago, IL 60628",0.009499575787457634,Chicago,41.667154,-87.631576,4092.0,48.11827956989247,0.02653093009040562,17997.082119957875,18285.429170670195,18290.525672098098,18288.897612775054,18231.46879048242,18279.88945086891,18209.946096063446,18283.236552026952,18247.233996126124,18277.616028820554
1495,"551 W 126th St, Chicago, IL 60628",0.005089919987693145,Chicago,41.664885,-87.636248,1068.0,98.78277153558052,0.07986783751649869,17997.259879488338,18285.599219134576,18290.695513604816,18289.06780470702,18231.63945741285,18280.05958580786,18210.10948450702,18283.406687645438,18247.40055381611,18277.785742724784
1496,"3851 W 109th Pl, Chicago, IL 60655",0.012780282509383073,Chicago,41.693742,-87.717549,1760.0,150.51136363636363,0.1343249734931138,18005.108046352132,18293.389978511615,18298.484710026005,18296.85964671782,18239.434881482117,18287.85099798222,18217.849375155012,18291.198104870105,18255.164799200607,18285.57397528246
