,Address,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
3494,"629 Columbia Rd NW, Washington, DC 20001",0.009818719542534306,Washington,38.928493,-77.0219,1500.0,316.6666666666667,0.04815205769815895,16385.930677927357,16388.88089979982,16370.400424350195,16383.400887906424,16314.271464745112,16387.199752662946,16387.31513208512,16389.680656155764,12183.680925550974,16385.930677927357
3495,"2906 25th St NE, Washington, DC 20018",0.01651611981996823,Washington,38.927198,-76.971364,2200.0,363.1818181818182,0.06048645619071063,16382.269617889977,16385.21993255581,16366.735748687495,16379.739668710223,16310.605357838353,16383.538440586239,16383.653815439542,16386.01966389544,12178.71998263449,16382.269617889977
3496,"832 19th St NE, Washington, DC 20002",0.014986466670183942,Washington,38.901033,-76.976526,1152.0,629.3402777777778,0.13106355625134214,16380.781888133804,16383.732143888888,16365.250316973115,16378.25204001711,16309.12083667699,16382.050870901961,16382.166248657653,16384.53189111846,12178.655355533765,16380.781888133804
3497,"2500 Virginia Ave NW, Unit 1408S, Washington, DC 20037",0.07844640139772145,Washington,38.898872,-77.054934,4640.0,817.8879310344828,0.18106063923076937,16386.168066791764,16389.11817055027,16370.642411383446,16383.63847920152,16314.515276558299,16387.437461750415,16387.55284697165,16389.917958644273,12186.262252255652,16386.168066791764
3498,"2501 M St NW, Unit 702, Washington, DC 20037",0.023254862074423358,Washington,38.905559,-77.053871,1340.0,839.5522388059702,0.186805352435278,16386.566166764038,16389.516285134792,16371.03994265888,16384.036554139748,16314.912581819988,16387.835522142053,16387.95090664685,16390.316069308716,12186.303620943943,16386.566166764038
3499,"2709 N St NW, Unit 102, Washington, DC 20007",0.04123862207864409,Washington,38.907077,-77.056258,2154.0,926.183844011142,0.20977741005185788,16386.842243508083,16389.792360233747,16371.316083256761,16384.31263370181,16315.188747696231,16388.111603341575,16388.226987927006,16390.592144849117,12186.569580727808,16386.842243508083
3500,"2517 Ontario Rd NW, Washington, DC 20009",0.1033549425529927,Washington,38.92356,-77.039898,3054.0,1637.1971185330715,0.398316429613922,16386.852929148816,16389.803107796633,16371.324358685533,16384.323213228887,16315.196066347426,16388.122121147957,16388.23750269445,16390.602875780914,12185.330554252982,16386.852929148816
3501,"1867 Kendall St NE, Washington, DC 20002",0.02067098851059854,Washington,38.912867,-76.986617,2400.0,416.6666666666667,0.07466900559745573,16382.332355281267,16385.282614271833,16366.800657143685,16379.802501612781,16310.671126073992,16383.60132925713,16383.716706853374,16386.08236062956,12179.897403661467,16382.332355281267
3502,"2118 Leroy Pl NW, Washington, DC 20008",0.12402593106359124,Washington,38.915376,-77.047258,11813.0,507.91500888851266,0.09886528096339467,16386.79368155511,16389.743830904943,16371.266251743291,16384.264015848443,16315.138412097955,16388.06295298715,16388.178335972152,16390.543606762076,12185.871233300411,16386.79368155511
3503,"1301 Delaware Ave SW, Apt N215, Washington, DC 20024",0.0022531377476552408,Washington,38.873838,-77.015947,650.0,167.69230769230768,0.008648604545616799,16381.64187517965,16384.59200535895,16366.115194313492,16379.112242331306,16309.987653554956,16382.911198582708,16383.02658250891,16385.39178636329,12181.913297504274,16381.64187517965
3504,"3313 O St NW, Washington, DC 20007",0.16526455314223532,Washington,38.908003,-77.06661,6184.0,1292.8525226390686,0.30700675252666515,16387.6392084736,16390.58930740036,16372.11374020293,16385.109629157938,16315.986679283984,16388.908616512133,16389.02400197002,16391.389096790317,12187.600198197142,16387.6392084736
3505,"2829 Tilden St NW, Washington, DC 20008",0.09291609335514044,Washington,38.941353,-77.056443,6185.0,726.7582861762328,0.156895838782893,16389.281073400314,16392.231254338763,16373.752412399284,16386.751353550037,16317.624083415925,16390.550259178657,16390.665640612362,16393.03102170738,12187.332143989974,16389.281073400314
3506,"2715 N St NW, Washington, DC 20007",0.10945288416361927,Washington,38.907135,-77.056466,5373.0,985.4829704075935,0.22550172850314304,16386.861044217076,16389.811160659396,16371.33489497955,16384.331434896216,16315.207563787833,16388.130404818057,16388.245789417382,16390.61094535079,12186.591143785357,16386.861044217076
3507,"4201 Cathedral Ave NW, Apt 404W, Washington, DC 20016",0.00496103724254365,Washington,38.931165,-77.083633,803.0,298.87920298879203,0.04343536522209058,16390.481045186043,16393.43115563498,16374.955127123687,16387.951446127117,16318.827886672414,16391.75042200865,16391.86580690142,16394.230941934627,12189.764821717994,16390.481045186043
3508,"2709 N St NW, Unit 103, Washington, DC 20007",0.049507017482883504,Washington,38.907127,-77.056533,2147.0,1115.5100139729855,0.25998093190037397,16386.865211985583,16389.81532828634,16371.33906825351,16384.33560290725,16315.211739247196,16388.13457297003,16388.249957576292,16390.61511301572,12186.597510363408,16386.865211985583
3509,"2142 Cathedral Ave NW, Washington, DC 20008",0.04134197702119708,Washington,38.924838,-77.050291,4692.0,426.25745950554136,0.07721219113766961,16387.67760835353,16390.627769802006,16372.14970708756,16385.147921911182,16316.02168005123,16388.946846985626,16389.062229376636,16391.427542408957,12186.372798405568,16387.67760835353
3510,"43 T St NE, Washington, DC 20002",0.018190469889326714,Washington,38.915322,-77.007298,1360.0,647.0588235294117,0.13576197379681595,16383.966935440003,16386.917160062174,16368.436575812044,16381.437140707498,16312.307574747927,16385.236002719696,16385.35138200686,16387.716915677727,12181.9694476709,16383.966935440003
3511,"640 L St NE, Washington, DC 20002",0.02066892141174748,Washington,38.90398,-76.997138,1372.0,728.7900874635568,0.15743461047166996,16382.446429175294,16385.396651613286,16366.91615548893,16379.916638190449,16310.787188950178,16383.715502388506,16383.830881783262,16386.196407816744,12180.731364153391,16382.446429175294
3512,"1943 Capitol Ave NE, Washington, DC 20002",0.014262982072312993,Washington,38.912314,-76.984076,918.0,751.6339869281046,0.16349211539085184,16382.113733369064,16385.063996108882,16366.581889198122,16379.583873270354,16310.452300334848,16383.382697163051,16383.49807457474,16385.863741456073,12179.637358651236,16382.113733369064
3513,"707 Otis Pl NW, Washington, DC 20010",0.018603889659538686,Washington,38.934873,-77.022544,1862.0,483.3512352309345,0.09235171790051347,16386.427770616145,16389.37800327652,16370.8970964178,16383.897962096196,16314.76796991831,16387.696816068597,16387.812194960108,16390.177756727902,12183.882440701525,16386.427770616145
3514,"2628 4th St NE, Washington, DC 20002",0.020567633568045546,Washington,38.924214,-77.000904,2380.0,418.06722689075633,0.07504039142237587,16384.14472205116,16387.094975452765,16368.613240768735,16381.614877965314,16312.483795084325,16385.41371119841,16385.529089069565,16387.894723316775,12181.538513252783,16384.14472205116
3515,"1325 Queen St NE, Washington, DC 20002",0.017777050119114745,Washington,38.905264,-76.983619,1698.0,506.4782096584217,0.09848428566013395,16381.58239327675,16384.532643619048,16366.051032653815,16379.052554441974,16309.92163554582,16382.851390740634,16382.966768762657,16385.33239230721,12179.43961366724,16381.58239327675
3516,"2510 Virginia Ave Nw Unit 2e n, Washington, DC 20037",0.018583218671028086,Washington,38.898945,-77.05429,1720.0,522.6744186046511,0.10277902594806684,16386.127729393575,16389.077834505708,16370.602021350536,16383.598139484511,16314.474865627806,16387.397120686324,16387.51250584121,16389.877622236636,12186.200971206435,16386.127729393575
3517,"2519 I St NW, Apt 1, Washington, DC 20037",0.018601822560687625,Washington,38.900941,-77.054207,1014.0,887.4753451676529,0.19951309758092997,16386.263111075477,16389.213220107176,16370.737250478285,16383.733514451473,16314.610034114205,16387.53249175183,16387.647876714556,16390.013006786725,12186.236186753958,16386.263111075477
3518,"3150 South St NW, Apt 3F, Washington, DC 20007",0.11978837841891854,Washington,38.903032,-77.061916,3890.0,1489.7172236503857,0.3592092627259425,16386.955775386563,16389.9058738045,16371.43032728572,16384.426196943663,16315.30327458456,16388.225184805466,16388.34057028837,16390.705663330857,12187.034093351986,16386.955775386563
3519,"749 Girard St NW, Washington, DC 20001",0.018603889659538686,Washington,38.926157,-77.024586,1906.0,472.19307450157396,0.08939291423338913,16385.955066159902,16388.905278572835,16370.425181106575,16383.425292358083,16314.29636761288,16387.224166566546,16387.33954645385,16389.705037474916,12183.892348750403,16385.955066159902
