,Address,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
470,"609 S Vicki Ln, Anaheim, CA 92804",0.007100274300240475,Anaheim,33.824412,-117.984391,1964.0,381.87372708757636,0.00978464933447963,21450.210763028954,21455.250443907196,21414.207032375238,21462.00505270247,21411.929995706258,21453.644324636978,21453.644324636978,21455.115245970097,19603.693109601627,21453.02592855135
471,"841 S Philadelphia St, Anaheim, CA 92805",0.013253835893416487,Anaheim,33.825846,-117.908379,3012.0,464.80710491367864,0.012381953957424382,21444.936761785062,21449.97271970068,21408.934744295566,21456.734891970405,21406.657859299452,21448.367376713173,21448.367376713173,21449.837364780386,19597.87650070434,21447.747865414567
472,"310 S Mohler Dr, Anaheim, CA 92808",0.021300822900721425,Anaheim,33.858326,-117.760019,4035.0,557.6208178438661,0.015288690569210747,21436.74699324584,21441.774250258513,21400.74898751345,21448.554092738188,21398.47245744336,21440.170721812963,21440.170721812963,21441.638528500418,19588.396810505983,21439.548604447402
473,"2300 S Lewis St, Spc 79, Anaheim, CA 92802",0.0014664433188096662,Anaheim,33.791593,-117.897023,1100.0,140.8181818181818,0.002235280208004585,21441.71173264143,21446.748792738374,21405.709208484957,21453.508728278706,21403.432278660428,21445.143219746187,21445.143219746187,21446.613484339203,19594.838061660248,21444.524038884236
474,"320 N Park Vista St, Spc 161, Anaheim, CA 92806",0.0012307142120416823,Anaheim,33.844316,-117.866372,1368.0,95.02923976608187,0.0008012637240620069,21443.272994976574,21448.30604397017,21407.272317210332,21455.074123970324,21404.995550772237,21446.70130764699,21446.70130764699,21448.17056638245,19595.775556179164,21446.08092492732
475,"201 N Tustin Ave Apt A, Anaheim, CA 92807",0.0042128294181426815,Anaheim,33.843712,-117.833651,786.0,566.1577608142494,0.015556050250246355,21440.917200777993,21445.948704696268,21404.917235381683,21452.71992302837,21402.64053197666,21444.344290555848,21444.344290555848,21445.81316197428,19593.195579478255,21443.72344510493
476,"7670 E Eucalyptus Way, Anaheim, CA 92808",0.00941969723831903,Anaheim,33.863512,-117.762479,1786.0,557.110862262038,0.015272719798154541,21437.287768422397,21442.31489434522,21401.28982312012,21449.09500268053,21399.013298390757,21440.71139326489,21440.71139326489,21442.179167054444,19588.914556378917,21440.089236600834
477,"190 S Cobblestone Ln, Anaheim, CA 92807",0.043548349041474914,Anaheim,33.844698,-117.812563,6701.0,686.4647067601851,0.019323818970977222,21439.496353567058,21444.52679533513,21403.496878072885,21451.300170882787,21401.220218009348,21442.92260268797,21442.92260268797,21444.39120783733,19591.619558790113,21442.301439137686
478,"640 S Aberdeen St, Anaheim, CA 92807",0.012307142120416822,Anaheim,33.838243,-117.808072,2188.0,594.1499085923217,0.01643270735424842,21438.722298446613,21443.752834687588,21402.72277951133,21450.526018801578,21400.446115609022,21442.148622305187,21442.148622305187,21443.617251181462,19590.864189040665,21441.527487102896
479,"125 N Belinda Cir, Anaheim, CA 92801",0.11833790500400791,Anaheim,33.83375,-117.966043,75554.0,165.44458268258464,0.003006528968011955,21449.573306112306,21454.61165592159,21413.570187518722,21461.3689684049,21411.29320503863,21453.005814238848,21453.005814238848,21454.476401843076,19602.854866160545,21452.387019339432
480,"1169 S Pointe Premier, Anaheim, CA 92807",0.03313461340112222,Anaheim,33.82671,-117.750839,7463.0,468.98030282728126,0.012512650023563051,21433.861347196635,21438.889683588637,21397.862843747746,21445.667336231607,21395.586269679938,21437.285929882524,21437.285929882524,21438.754007371135,19585.69230006842,21436.66413600701
481,"940 S Jay Cir, Anaheim, CA 92808",0.012307142120416822,Anaheim,33.844973,-117.74554,3118.0,416.93393200769725,0.010882663604576797,21434.77902399412,21439.806226427183,21398.781043764426,21446.58618065906,21396.504515958673,21438.202709291345,21438.202709291345,21439.670502387864,19586.431147924413,21437.580575697997
482,"146 S Seneca Cir, Unit 23, Anaheim, CA 92805",0.005869560088198792,Anaheim,33.832892,-117.922006,1298.0,477.65793528505395,0.012784415813038645,21446.398555189226,21451.434829319343,21410.396391946837,21458.196358727953,21408.119494044182,21449.829420434602,21449.829420434602,21451.299487721415,19599.378875764785,21449.210003790606
483,"1891 S Union St, Unit 112, Anaheim, CA 92805",0.007090807267840154,Anaheim,33.799927,-117.892335,1613.0,464.3521388716677,0.012367705346850775,21441.969520719944,21447.00595431493,21405.96728478451,21453.767162032014,21403.690380469016,21445.40051200145,21445.40051200145,21446.870619487992,19594.998332804495,21444.781143407577
484,"1318 N Sunshine Way, Anaheim, CA 92806",0.014153213438479346,Anaheim,33.854259,-117.877976,3820.0,391.3612565445026,0.01008177944981714,21444.796571413062,21449.829700191014,21408.79585665356,21456.597617450454,21406.51908693526,21448.224947284732,21448.224947284732,21449.694225952535,19597.303107040672,21447.604588374394
485,"1900 W Glenoaks Ave Apt C, Anaheim, CA 92801",0.005102730463772821,Anaheim,33.842493,-117.947593,1339.0,402.5392083644511,0.01043185015353166,21448.88674407016,21453.92378641059,21412.88422696784,21460.68375453649,21410.60729773384,21452.318217395838,21452.318217395838,21453.78847718949,19601.97142586173,21451.699030774613
486,"2651 W Lincoln Ave, Unit 17, Anaheim, CA 92801",0.006503851259020275,Anaheim,33.832387,-117.978625,1535.0,447.557003257329,0.011841715877742518,21450.366765028284,21455.405785123698,21414.363338111245,21462.161735900314,21412.08632833239,21453.79980367374,21453.79980367374,21455.27055931114,19603.74687014943,21453.1812095738
487,"1213 E Adele St, Anaheim, CA 92805",0.007497889661053941,Anaheim,33.841383,-117.903074,1268.0,624.6056782334385,0.01738652008149654,21445.66036681391,21450.69532209653,21409.658810740282,21457.459530062086,21407.381966574834,21449.09018825816,21449.09018825816,21450.559924881076,19598.44237524583,21448.470376513516
488,"2300 S Lewis St, Spc 158, Anaheim, CA 92802",0.0016093955080545075,Anaheim,33.79141,-117.894017,1300.0,130.76923076923077,0.0019205675109055485,21441.4862279343,21446.523152285532,21405.483766265843,21453.283363610477,21403.206841973297,21444.917607596984,21444.917607596984,21446.387838163,19594.59295415493,21444.298386075578
489,"505 S Reseda St, Anaheim, CA 92806",0.007856690189026093,Anaheim,33.836246,-117.888489,1411.0,588.1644223954642,0.016245254107109884,21444.265886519042,21449.300387554642,21408.264539812197,21456.065518608175,21405.98771418033,21447.695348407233,21447.695348407233,21449.164971195245,19596.985779621442,21447.075400652935
490,"817 S Anaheim Blvd, Unit 106, Anaheim, CA 92805",0.006862651786992427,Anaheim,33.825975,-117.910925,1540.0,470.7142857142857,0.012566954838904918,21445.125908574282,21450.161982706573,21409.12383756925,21456.923918878387,21406.846947835977,21448.556615486872,21448.556615486872,21450.026632686102,19598.08245019401,21447.937138997364
491,"861 861 1 2 S Lemon St, Anaheim, CA 92805",0.012676356384029327,Anaheim,33.82407,-117.91269,2792.0,479.5845272206304,0.012844752751819713,21445.11600519288,21450.152255852267,21409.113852950824,21456.913833545463,21406.836956027808,21448.546851813848,21448.546851813848,21450.01691327744,19598.099681698044,21447.92742821599
492,"2437 W Glencrest Ave, Anaheim, CA 92801",0.007952297749236932,Anaheim,33.840595,-117.969612,1284.0,654.2048286604362,0.01831350523819037,21450.309657075664,21455.347849119302,21414.30661091942,21462.1054816562,21412.02963484826,21453.74204036906,21453.74204036906,21455.212588378534,19603.56301726069,21453.123198151556
493,"1521 W Crone Ave, Anaheim, CA 92802",0.008046968073240138,Anaheim,33.822005,-117.933799,1684.0,504.75,0.013632884147185055,21446.462667323394,21451.500032248845,21410.460002195894,21458.259346430226,21408.183059871102,21449.894395860705,21449.894395860705,21451.364736658896,19599.609988002132,21449.275306043994
