,Address,Latitude,Longitude,City
0,"3207 Los Feliz Blvd,Los Angeles, CA 90039",34.123311,-118.269296,Los Angeles
1,"10460 W Pico Blvd,Los Angeles, CA 90064",34.045439,-118.41805,Los Angeles
2,"6900 W Manchester Ave,Los Angeles, CA 90045",33.95947,-118.41159,Los Angeles
3,"12445 Mountain Gate Dr,Los Angeles, CA 90049",34.05513,-118.25703,Los Angeles
4,"10768 Bellagio Rd,Los Angeles, CA 90077",34.080204,-118.450429,Los Angeles
5,"3084 Motor Ave,Los Angeles, CA 90064",34.034218,-118.410262,Los Angeles
6,"2650 N Vermont Ave,Los Angeles, CA 90027",34.11792,-118.29204,Los Angeles
7,"3900 Chevy Chase Dr,Los Angeles, CA 90039",34.133266,-118.272814,Los Angeles
8,"1818 Charlie Sifford Dr,Los Angeles, CA 90047",33.92016,-118.31222,Los Angeles
9,"301 N Rossmore Ave,Los Angeles, CA 90004",34.07619,-118.32731,Los Angeles
10,"10000 W Pico Blvd,Los Angeles, CA 90064",34.05211,-118.40654,Los Angeles
11,"10101 Wilshire Blvd,Los Angeles, CA 90024",34.067251,-118.417036,Los Angeles
12,"10786 Bellagio Rd,Los Angeles, CA 90077",34.05513,-118.25703,Los Angeles
13,"12455 Mountain Gate Dr,Los Angeles, CA 90049",34.05513,-118.25703,Los Angeles
14,"1921 S Western Ave,Los Angeles, CA 90018",34.05513,-118.25703,Los Angeles
15,"3250 Wilshire Blvd Ste 2150,Los Angeles, CA 90010",34.061618,-118.293371,Los Angeles
16,"3921 Wilshire Blvd Apt 706,Los Angeles, CA 90010",34.061875,-118.312343,Los Angeles
17,"125 Paseo De La Plz,Los Angeles, CA 90012",34.056813,-118.238237,Los Angeles
18,"626 Wilshire Blvd Ste 100,Los Angeles, CA 90017",34.048284,-118.256958,Los Angeles
19,"1055 Wilshire Blvd,Los Angeles, CA 90017",34.052321,-118.262897,Los Angeles
20,"1314 S Grand Ave,Los Angeles, CA 90015",34.05513,-118.25703,Los Angeles
21,"626 Coronado Ter,Los Angeles, CA 90026",34.07526,-118.270072,Los Angeles
22,"950 S Western AVE,Los Angeles, CA 90006",34.054065,-118.308888,Los Angeles
23,"3921 Wilshire Blvd,Los Angeles, CA 90010",34.061875,-118.312343,Los Angeles
24,"4914 Santa Monica Blvd,Los Angeles, CA 90029",34.090701,-118.296662,Los Angeles
25,"Ste A,Los Angeles, CA 90042",34.05513,-118.25703,Los Angeles
26,"1123 Vine St,Los Angeles, CA 90068",34.091392,-118.326834,Los Angeles
27,"4730 Crystal Springs Dr,Los Angeles, CA 90027",34.13245,-118.28047,Los Angeles
28,"5919 W 3rd St Ste 2a,Los Angeles, CA 90036",34.069729,-118.349318,Los Angeles
29,"2102 Colorado Blvd,Los Angeles, CA 90041",34.13897,-118.21215,Los Angeles
30,"1538 N Martel Ave,Los Angeles, CA 90046",34.099242,-118.349914,Los Angeles
31,"1516 N Gardner St,Los Angeles, CA 90046",34.09865,-118.35272,Los Angeles
32,"6420 Wilshire Blvd,Los Angeles, CA 90048",34.06365,-118.369219,Los Angeles
33,"1921 W 98th St,Los Angeles, CA 90047",33.94706,-118.31234,Los Angeles
34,"2314 Westwood Blvd,Los Angeles, CA 90064",34.04211,-118.430003,Los Angeles
35,"12500 Beatrice St,Los Angeles, CA 90066",33.981249,-118.414008,Los Angeles
36,"8939 S Sepulveda Blvd,Los Angeles, CA 90045",33.95489,-118.39644,Los Angeles
37,"4509 S Centinela Ave,Los Angeles, CA 90066",33.99261,-118.423205,Los Angeles
38,"3513 S Centinela Ave,Los Angeles, CA 90066",34.01016,-118.4387,Los Angeles
39,"2028 Stoner Ave,Los Angeles, CA 90025",34.035894,-118.450544,Los Angeles
40,"4151 Redwood Ave,Los Angeles, CA 90066",33.989885,-118.439428,Los Angeles
41,"11962 Wilshire Blvd,Los Angeles, CA 90025",34.045501,-118.465382,Los Angeles
42,"12100 Wilshire Blvd Ste M50,Los Angeles, CA 90025",34.043797,-118.467553,Los Angeles
43,"3600 Wilshire Blvd Ste 406,Los Angeles, CA 90010",34.061561,-118.303349,Los Angeles
