,Address,Latitude,Longitude,City
0,"4116 S Hoover St,Los Angeles, CA 90037",34.0091,-118.28703,Los Angeles
1,"7660 Beverly Blvd,Los Angeles, CA 90036",34.075952,-118.356676,Los Angeles
2,"260 S La Brea Ave,Los Angeles, CA 90036",34.069654,-118.343825,Los Angeles
3,"3667 W 3rd St,Los Angeles, CA 90020",34.069188,-118.296078,Los Angeles
4,"4907 Maplewood Ave,Los Angeles, CA 90004",34.080438,-118.309594,Los Angeles
5,"1820 W Slauson Ave,Los Angeles, CA 90047",33.98794,-118.31101,Los Angeles
6,"121 W Ann St,Los Angeles, CA 90012",34.065493,-118.231747,Los Angeles
7,"620 E El Segundo Blvd,Los Angeles, CA 90059",33.915698,-118.26464,Los Angeles
8,"1515 Westwood Blvd,Los Angeles, CA 90024",34.053647,-118.440584,Los Angeles
9,"930 Chung King Rd,Los Angeles, CA 90012",34.05513,-118.25703,Los Angeles
10,"2738 Hyperion Ave,Los Angeles, CA 90027",34.107669,-118.271787,Los Angeles
11,"6350 W 3rd St,Los Angeles, CA 90036",34.07127,-118.36061,Los Angeles
12,"1751 Westwood Blvd,Los Angeles, CA 90024",34.050893,-118.438209,Los Angeles
13,"317 S Broadway Ste 35,Los Angeles, CA 90013",34.050659,-118.248526,Los Angeles
14,"12146 Santa Monica Blvd,Los Angeles, CA 90025",34.05513,-118.25703,Los Angeles
15,"5244 Santa Monica Blvd,Los Angeles, CA 90029",34.090659,-118.30491,Los Angeles
16,"904 N Western Ave,Los Angeles, CA 90029",34.086438,-118.308957,Los Angeles
17,"5315 Santa Monica Blvd,Los Angeles, CA 90029",34.090932,-118.305218,Los Angeles
18,"7825 Beverly Blvd,Los Angeles, CA 90036",34.076273,-118.360717,Los Angeles
19,"5070 Hollywood Blvd,Los Angeles, CA 90027",34.101626,-118.300181,Los Angeles
20,"1401 N Main St,Los Angeles, CA 90012",34.064981,-118.231303,Los Angeles
21,"5824 S Vermont Ave,Los Angeles, CA 90044",33.98873,-118.28954,Los Angeles
22,"8922 W Pico Blvd,Los Angeles, CA 90035",34.055121,-118.386536,Los Angeles
23,"649 Wall St Ste 4,Los Angeles, CA 90014",34.042488,-118.248292,Los Angeles
24,"1429 W 3rd St,Los Angeles, CA 90017",34.058795,-118.262431,Los Angeles
25,"1114 E 8th St,Los Angeles, CA 90021",34.03501,-118.24516,Los Angeles
26,"808 N State St,Los Angeles, CA 90033",34.053765,-118.212562,Los Angeles
27,"1930 W 7th St,Los Angeles, CA 90057",34.05569,-118.27545,Los Angeles
