,Address,Latitude,Longitude,City
0,"626 Coronado Ter,Los Angeles, CA 90026",34.07526,-118.270072,Los Angeles
1,"2102 Colorado Blvd,Los Angeles, CA 90041",34.13897,-118.21215,Los Angeles
2,"PO Box 748,Los Angeles, CA 90078",34.05513,-118.25703,Los Angeles
3,"11910 W Pico Blvd,Los Angeles, CA 90064",34.05513,-118.25703,Los Angeles
4,"2516 Hyperion Ave,Los Angeles, CA 90027",34.104696,-118.272946,Los Angeles
5,"11943 Montana Ave Ste 100,Los Angeles, CA 90049",34.051691,-118.471394,Los Angeles
6,"735 S Figueroa St Ste 100,Los Angeles, CA 90017",34.04878,-118.26079,Los Angeles
7,"8737 La Tijera Blvd,Los Angeles, CA 90045",33.957616,-118.394246,Los Angeles
8,"505 S Flower St,Los Angeles, CA 90071",34.0515,-118.25654,Los Angeles
9,"159 S Barrington Pl,Los Angeles, CA 90049",34.0654,-118.46905,Los Angeles
10,"120 N Robertson Blvd Ste N,Los Angeles, CA 90048",34.05513,-118.25703,Los Angeles
11,"1123 Vine St Ste 14,Los Angeles, CA 90038",34.091392,-118.326834,Los Angeles
12,"7574 W Sunset Blvd,Los Angeles, CA 90046",34.097868,-118.354699,Los Angeles
13,"5037 W Pico Blvd,Los Angeles, CA 90019",34.048023,-118.347311,Los Angeles
14,"621 S Western Ave,Los Angeles, CA 90005",34.0628,-118.30928,Los Angeles
15,"11601 La Tijera Blvd,Los Angeles, CA 90045",34.05513,-118.25703,Los Angeles
16,"828 N La Brea Ave,Los Angeles, CA 90038",34.08609,-118.34386,Los Angeles
17,"12625 W Washington Blvd,Los Angeles, CA 90066",33.996974,-118.433214,Los Angeles
18,"12424 Wilshire Blvd,Los Angeles, CA 90025",34.041347,-118.470576,Los Angeles
19,"5119 W Sunset Blvd,Los Angeles, CA 90027",34.09829,-118.30126,Los Angeles
20,"3462 N San Fernando Rd,Los Angeles, CA 90065",34.05513,-118.25703,Los Angeles
21,"12424 Wilshire Blvd Ste 101,Los Angeles, CA 90025",34.041347,-118.470576,Los Angeles
22,"1710 N Mccadden Pl,Los Angeles, CA 90028",34.10202,-118.33731,Los Angeles
23,"1872 S Sepulveda Blvd,Los Angeles, CA 90025",34.04498,-118.44183,Los Angeles
24,"2619 N Broadway,Los Angeles, CA 90031",34.073808,-118.21498,Los Angeles
25,"11022 Santa Monica Blvd,Los Angeles, CA 90025",34.048097,-118.441773,Los Angeles
26,"8000 W Sunset Blvd,Los Angeles, CA 90046",34.09783,-118.36466,Los Angeles
27,"1550 Vine St,Los Angeles, CA 90028",34.099358,-118.326456,Los Angeles
28,"903 S Hill St,Los Angeles, CA 90015",34.04303,-118.25746,Los Angeles
29,"8000 Sunset Blvd La,Los Angeles, CA 90046",34.09783,-118.36466,Los Angeles
30,"777 S Alameda St,Los Angeles, CA 90021",34.03396,-118.24117,Los Angeles
31,"6015 Santa Monica Blvd,Los Angeles, CA 90038",34.090883,-118.32072,Los Angeles
32,"805 S La Brea Ave,Los Angeles, CA 90036",34.06022,-118.34499,Los Angeles
33,"6677 Santa Monica Blvd,Los Angeles, CA 90038",34.090855,-118.33573,Los Angeles
34,"2700 Colorado Blvd Ste 254,Los Angeles, CA 90041",34.142485,-118.224383,Los Angeles
35,"8406 Glider Ave,Los Angeles, CA 90045",33.961635,-118.388094,Los Angeles
36,"6220 W 87th St,Los Angeles, CA 90045",34.05513,-118.25703,Los Angeles
37,"100 Ucla Medical Plz, Suite 525,Los Angeles, CA 90024",34.05513,-118.25703,Los Angeles
38,"757 Westwood Plz,Los Angeles, CA 90095",34.066327,-118.447112,Los Angeles
39,"431 S Hewitt St,Los Angeles, CA 90013",34.04264,-118.23534,Los Angeles
40,"3018 W Pico Blvd,Los Angeles, CA 90006",34.047027,-118.306682,Los Angeles
41,"1947 1/2 Hillhurst Ave,Los Angeles, CA 90027",34.103804,-118.287255,Los Angeles
42,"4356 W Adams Blvd,Los Angeles, CA 90018",34.03238,-118.33359,Los Angeles
43,"620 1/2 S La Brea Ave,Los Angeles, CA 90036",34.069954,-118.344218,Los Angeles
44,"620 S La Brea Ave,Los Angeles, CA 90036",34.06424,-118.34382,Los Angeles
45,"7117 1/2 W Sunset Blvd # 2,Los Angeles, CA 90046",34.05513,-118.25703,Los Angeles
46,"3341 Floyd Ter,Los Angeles, CA 90068",34.13186,-118.345549,Los Angeles
47,"6201 S La Brea Ave,Los Angeles, CA 90056",33.983671,-118.358496,Los Angeles
48,"10131 National Blvd,Los Angeles, CA 90034",34.029122,-118.406505,Los Angeles
49,"3440 Motor Ave,Los Angeles, CA 90034",34.02715,-118.408872,Los Angeles
50,"1950 Sawtelle Blvd Ste 185,Los Angeles, CA 90025",34.041293,-118.443773,Los Angeles
51,"12422 Santa Monica Blvd,Los Angeles, CA 90025",34.05513,-118.25703,Los Angeles
52,"605 S Los Angeles St,Los Angeles, CA 90014",34.044453,-118.249411,Los Angeles
53,"1200 S Grand Ave,Los Angeles, CA 90015",34.03989,-118.26331,Los Angeles
54,"424 W Pico Blvd,Los Angeles, CA 90015",34.039126,-118.26523,Los Angeles
55,"1354 Margo St,Los Angeles, CA 90015",34.03718,-118.264793,Los Angeles
56,"4228 Melrose Ave,Los Angeles, CA 90029",34.083486,-118.292678,Los Angeles
57,"3959 Wilshire Blvd,Los Angeles, CA 90010",34.061861,-118.313367,Los Angeles
58,"5870 W Olympic Blvd,Los Angeles, CA 90036",34.05733,-118.35874,Los Angeles
59,"5606 Glenford St,Los Angeles, CA 90008",34.016131,-118.368238,Los Angeles
60,"3485 S La Cienega Blvd,Los Angeles, CA 90016",34.02432,-118.3724,Los Angeles
61,"1101 S Robertson Blvd Ste 103,Los Angeles, CA 90035",34.056972,-118.383845,Los Angeles
62,"1499 S Robertson Blvd,Los Angeles, CA 90035",34.052402,-118.384276,Los Angeles
63,"116 N Robertson Blvd,Los Angeles, CA 90048",34.075798,-118.383561,Los Angeles
64,"10401 Venice Blvd,Los Angeles, CA 90034",34.020519,-118.404333,Los Angeles
65,"10220 Constellation Blvd,Los Angeles, CA 90067",34.058045,-118.416433,Los Angeles
66,"6100 Center Dr,Los Angeles, CA 90045",33.977333,-118.3922,Los Angeles
67,"10524 W Pico Blvd,Los Angeles, CA 90064",34.04461,-118.41964,Los Angeles
68,"10250 Santa Monica Blvd,Los Angeles, CA 90067",34.059485,-118.420449,Los Angeles
69,"2920 S Sepulveda Blvd,Los Angeles, CA 90064",34.02823,-118.42906,Los Angeles
70,"6204 W Manchester Ave,Los Angeles, CA 90045",33.959689,-118.393847,Los Angeles
71,"10780 Santa Monica Blvd Ste 106,Los Angeles, CA 90025",34.050388,-118.433843,Los Angeles
72,"11150 W Olympic Blvd,Los Angeles, CA 90064",34.03956,-118.43857,Los Angeles
73,"2130 Sawtelle Blvd,Los Angeles, CA 90025",34.038818,-118.441599,Los Angeles
74,"4943 Mcconnell Ave,Los Angeles, CA 90066",33.982717,-118.423465,Los Angeles
75,"8327 Lincoln Blvd,Los Angeles, CA 90045",33.961907,-118.421277,Los Angeles
76,"11755 Wilshire Blvd,Los Angeles, CA 90025",34.048532,-118.462273,Los Angeles
77,"12217 Santa Monica Blvd,Los Angeles, CA 90025",34.04006,-118.46499,Los Angeles
78,"12304 Santa Monica Blvd,Los Angeles, CA 90025",34.039246,-118.465845,Los Angeles
79,"11604 Chayote St,Los Angeles, CA 90049",34.06551,-118.46931,Los Angeles
80,"11973 San Vicente Blvd,Los Angeles, CA 90049",34.05262,-118.47176,Los Angeles
81,"830 Traction Ave,Los Angeles, CA 90013",34.044614,-118.235069,Los Angeles
82,"800 Wilshire Blvd,Los Angeles, CA 90017",34.049302,-118.25841,Los Angeles
83,"735 S Figueroa St,Los Angeles, CA 90017",34.04878,-118.26079,Los Angeles
84,"650 S Avenue 21,Los Angeles, CA 90031",34.06412,-118.21687,Los Angeles
85,"3929 Middlebury St,Los Angeles, CA 90004",34.079948,-118.289974,Los Angeles
86,"1469 S Bedford St,Los Angeles, CA 90035",34.0522,-118.38094,Los Angeles
124,"5557 E Santa Ana Canyon Rd Ste 203,Anaheim, CA 92807",33.85233,-117.792828,Anaheim
125,"3174 E La Palma Ave,Anaheim, CA 92806",33.851444,-117.854092,Anaheim
126,"3150 W Lincoln Ave Ste 140,Anaheim, CA 92801",33.82415,-117.897707,Anaheim
127,"3005 S Festival Dr,Anaheim, CA 92808",33.82415,-117.897707,Anaheim
128,"446 S Anaheim Hills Rd,Anaheim, CA 92807",33.845397,-117.775443,Anaheim
129,"1620 W Katella Ave,Anaheim, CA 92802",33.802037,-117.938658,Anaheim
130,"1901 E Center St Ste 100,Anaheim, CA 92805",33.84101,-117.891371,Anaheim
131,"5757 E Santa Ana Canyon Rd,Anaheim, CA 92807",33.852945,-117.788558,Anaheim
132,"246 E Orangethorpe Ave,Fullerton, CA 92832",33.8591,-117.920289,Anaheim
133,"2280 E Lincoln Ave,Anaheim, CA 92806",33.837597,-117.884782,Anaheim
134,"2060 S Euclid St,Anaheim, CA 92802",33.796473,-117.940379,Anaheim
135,"5655 E La Palma Ave,Anaheim, CA 92807",33.861578,-117.791341,Anaheim
136,"5741 E La Palma Ave,Anaheim, CA 92807",33.860663,-117.788703,Anaheim
137,"9822 Katella Ave,Anaheim, CA 92804",33.802346,-117.96136,Anaheim
138,"135 N Beach Blvd,Anaheim, CA 92801",33.833631,-117.99463,Anaheim
139,"1461 N Daly St,Anaheim, CA 92806",33.854862,-117.88846,Anaheim
140,"6200 Canyon Rim Rd 105b,Anaheim, CA 92807",33.82415,-117.897707,Anaheim
141,"5578 E La Palma Ave,Anaheim, CA 92807",33.858655,-117.793447,Anaheim
142,"8126 E Santa Ana Canyon Rd Ste 169,Anaheim, CA 92808",33.865433,-117.748773,Anaheim
143,"4411 E La Palma Ave,Anaheim, CA 92807",33.860151,-117.820631,Anaheim
144,"1261 N Lakeview Ave,Anaheim, CA 92807",33.861118,-117.819019,Anaheim
145,"430 S Anaheim Hills Rd,Anaheim, CA 92807",33.845819,-117.775825,Anaheim
146,"148 S Fairmont Blvd,Anaheim, CA 92808",33.857097,-117.769185,Anaheim
147,"710 S Brookhurst St,Anaheim, CA 92804",33.822159,-117.958026,Anaheim
148,"924 S Magnolia Ave,Anaheim, CA 92804",33.818441,-117.975067,Anaheim
149,"3472 E Orangethorpe Ave,Anaheim, CA 92806",33.868261,-117.846697,Anaheim
150,"505 S Villa Real Ste 110,Anaheim, CA 92807",33.836965,-117.822604,Anaheim
151,"1170 S Harbor Blvd,Fullerton, CA 92832",33.860335,-117.922134,Anaheim
