,hospital,latitude,longitude,City_x,City_y,City
0,"1225 Wilshire Blvd,Los Angeles, CA 90017",34.054361,-118.26505,Los Angeles,Los Angeles,Los Angeles
1,"1401 S Grand Ave,Los Angeles, CA 90015",34.037202,-118.26562,Los Angeles,Los Angeles,Los Angeles
2,"6245 De Longpre Ave,Los Angeles, CA 90028",34.096313,-118.325079,Los Angeles,Los Angeles,Los Angeles
3,"6000 San Vicente Blvd,Los Angeles, CA 90036",34.057321,-118.362168,Los Angeles,Los Angeles,Los Angeles
4,"6041 Cadillac Ave,Los Angeles, CA 90034",34.038065,-118.375937,Los Angeles,Los Angeles,Los Angeles
5,"1500 San Pablo St 2nd Fl,Los Angeles, CA 90033",34.06199,-118.203013,Los Angeles,Los Angeles,Los Angeles
6,"1037 W Vernon Ave,Los Angeles, CA 90037",34.00381,-118.293084,Los Angeles,Los Angeles,Los Angeles
7,"765 W College St,Los Angeles, CA 90012",34.066206,-118.243395,Los Angeles,Los Angeles,Los Angeles
8,"1891 Effie St,Los Angeles, CA 90026",34.084486,-118.256591,Los Angeles,Los Angeles,Los Angeles
9,"6041 Cadillac Ave Hospital West Tower,Los Angeles, CA 90034",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
10,"757 Westwood Plz,Los Angeles, CA 90095",34.066327,-118.447112,Los Angeles,Los Angeles,Los Angeles
11,"8934 Topanga Canyon Blvd Unit 103,Los Angeles, CA 91304",34.232647,-118.603134,Los Angeles,Los Angeles,Los Angeles
12,"515 S Figueroa St,Los Angeles, CA 90071",34.05199,-118.25764,Los Angeles,Los Angeles,Los Angeles
13,"441 Bauchet St,Los Angeles, CA 90012",34.059269,-118.231487,Los Angeles,Los Angeles,Los Angeles
14,"1317 Shatto St,Los Angeles, CA 90017",34.054987,-118.266685,Los Angeles,Los Angeles,Los Angeles
15,"1411 W Sunset Blvd,Los Angeles, CA 90026",34.07461,-118.25189,Los Angeles,Los Angeles,Los Angeles
16,"1800 Wilshire Blvd,Los Angeles, CA 90057",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
17,"1240 N Mission Rd,Los Angeles, CA 90033",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
18,"403 W Adams Blvd,Los Angeles, CA 90007",34.027697,-118.273594,Los Angeles,Los Angeles,Los Angeles
19,"500 S Virgil Ave,Los Angeles, CA 90020",34.06492,,Los Angeles,Los Angeles,Los Angeles
20,"505 S Virgil Ave,Los Angeles, CA 90020",34.064897,-118.287237,Los Angeles,Los Angeles,Los Angeles
21,"4211 Avalon Blvd,Los Angeles, CA 90011",34.007209,-118.265431,Los Angeles,Los Angeles,Los Angeles
22,"4060 Whittier Blvd,Los Angeles, CA 90023",34.023713,-118.184038,Los Angeles,Los Angeles,Los Angeles
23,"4081 E Olympic Blvd,Los Angeles, CA 90023",34.019101,,Los Angeles,Los Angeles,Los Angeles
24,"4650 W Sunset Blvd,Los Angeles, CA 90027",34.097873,-118.290634,Los Angeles,Los Angeles,Los Angeles
25,"903 Crenshaw Blvd Ste 200,Los Angeles, CA 90019",34.056451,-118.322205,Los Angeles,Los Angeles,Los Angeles
26,"5055 Wilshire Blvd Ste 845,Los Angeles, CA 90036",34.062351,-118.340363,Los Angeles,Los Angeles,Los Angeles
27,"8436 West Blvd,Los Angeles, CA 90016",34.09828,-118.3735,Los Angeles,Los Angeles,Los Angeles
28,"5757 Wilshire Blvd,Los Angeles, CA 90036",34.062604,-118.353417,Los Angeles,Los Angeles,Los Angeles
29,"7000 Hollywood Blvd,Los Angeles, CA 90028",34.10137,-118.341815,Los Angeles,Los Angeles,Los Angeles
30,"1680 E 120th St,Los Angeles, CA 90059",33.924186,-118.24415,Los Angeles,Los Angeles,Los Angeles
31,"2070 Century Park E,Los Angeles, CA 90067",34.059057,-118.412271,Los Angeles,Los Angeles,Los Angeles
32,"12700 Braddock Dr,Los Angeles, CA 90066",33.985835,-118.42469,Los Angeles,Los Angeles,Los Angeles
33,"11301 Wilshire Blvd,Los Angeles, CA 90073",34.052854,-118.452537,Los Angeles,Los Angeles,Los Angeles
34,"11620 Wilshire Blvd,Los Angeles, CA 90025",34.050208,-118.459633,Los Angeles,Los Angeles,Los Angeles
35,"5525 W Slauson Ave,Los Angeles, CA 90056",33.989155,-118.378382,Los Angeles,Los Angeles,Los Angeles
36,"1904 Bailey St,Los Angeles, CA 90033",34.052479,-118.213294,Los Angeles,Los Angeles,Los Angeles
37,"2000 Stadium way,Los Angeles, CA 90026",34.07595,-118.248473,Los Angeles,Los Angeles,Los Angeles
38,"3160 Geneva St,Los Angeles, CA 90020",34.067574,-118.286158,Los Angeles,Los Angeles,Los Angeles
39,"4640 Hollywood Blvd,Los Angeles, CA 90027",34.100056,-118.290516,Los Angeles,Los Angeles,Los Angeles
40,"2202 S Figueroa St # 230,Los Angeles, CA 90007",34.031372,-118.273721,Los Angeles,Los Angeles,Los Angeles
41,"531 W College St,Los Angeles, CA 90012",34.06476,-118.2393,Los Angeles,Los Angeles,Los Angeles
42,"845 S Burlington Ave,Los Angeles, CA 90057",34.0523,-118.27533,Los Angeles,Los Angeles,Los Angeles
43,"1830 S Robertson Blvd,Los Angeles, CA 90035",34.04575,-118.38618,Los Angeles,Los Angeles,Los Angeles
44,"1300 N Vermont Ave,Los Angeles, CA 90027",34.09579,-118.29152,Los Angeles,Los Angeles,Los Angeles
45,"640 N Broadway,Los Angeles, CA 90012",34.059657,-118.239469,Los Angeles,Los Angeles,Los Angeles
46,"1032 S Main St,Los Angeles, CA 90015",34.03961,-118.25743,Los Angeles,Los Angeles,Los Angeles
47,"1046 S Figueroa St,Los Angeles, CA 90015",34.043909,-118.264734,Los Angeles,Los Angeles,Los Angeles
48,"1983 Marengo St,Los Angeles, CA 90033",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
49,"1120 W Washington Blvd,Los Angeles, CA 90015",34.03869,-118.28208,Los Angeles,Los Angeles,Los Angeles
50,"400 W 30th St,Los Angeles, CA 90007",34.02393,-118.27577,Los Angeles,Los Angeles,Los Angeles
51,"3143 W Sunset Blvd,Los Angeles, CA 90026",34.08542,-118.27461,Los Angeles,Los Angeles,Los Angeles
52,"2409 S Vermont Ave,Los Angeles, CA 90007",34.03421,-118.29179,Los Angeles,Los Angeles,Los Angeles
53,"3484 E 1st St,Los Angeles, CA 90063",34.035885,-118.19254,Los Angeles,Los Angeles,Los Angeles
54,"1061 E Vernon Ave,Los Angeles, CA 90011",34.00407,-118.25692,Los Angeles,Los Angeles,Los Angeles
55,"1014 1/2 N Vermont Ave,Los Angeles, CA 90029",34.092024,-118.291527,Los Angeles,Los Angeles,Los Angeles
56,"1515 N Vermont Ave,Los Angeles, CA 90027",34.098667,-118.29207,Los Angeles,Los Angeles,Los Angeles
57,"4867 W Sunset Blvd,Los Angeles, CA 90027",34.09832,-118.29564,Los Angeles,Los Angeles,Los Angeles
58,"1526 N Edgemont St,Los Angeles, CA 90027",34.099335,-118.295976,Los Angeles,Los Angeles,Los Angeles
59,"4027 W Pico Blvd,Los Angeles, CA 90019",34.047673,-118.323559,Los Angeles,Los Angeles,Los Angeles
60,"1870 N Vermont Ave,Los Angeles, CA 90027",34.10508,-118.29162,Los Angeles,Los Angeles,Los Angeles
61,"4700 W Pico Blvd Ste G-H,Los Angeles, CA 90019",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
62,"1715 N Cahuenga Blvd,Los Angeles, CA 90028",34.1022,-118.32972,Los Angeles,Los Angeles,Los Angeles
63,"10901 South Vermont Avenue Mary B. Henry Building,Los Angeles, CA 90044",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
