,Address,Housing Price,City,Longitude,Latitude,SQ Ft
0,"1246 Armacost Ave, Apt 303, Los Angeles, CA 90025",1050000,Los Angeles,34.045635,-118.463034,1690.0
1,"440 Wren Dr, Los Angeles, CA 90065",1099000,Los Angeles,34.103212,-118.20927,1355.0
2,"2047 W 95th St, Los Angeles, CA 90047",1249000,Los Angeles,33.950019,-118.315038,1815.0
3,"8816 S Fir Ave, Los Angeles, CA 90002",1250000,Los Angeles,33.956287,-118.236915,4348.0
4,"4051 W 4th St, Los Angeles, CA 90020",2450000,Los Angeles,34.067364,-118.304489,8259.0
5,"2170 Century Park E, Apt 1507, Los Angeles, CA 90067",999000,Los Angeles,34.057964,-118.410411,1053.0
6,"3171 Fairmount St, Los Angeles, CA 90063",1150000,Los Angeles,34.047486,-118.192781,1702.0
7,"747 S Ave, 60, Los Angeles, CA 90042",1448999,Los Angeles,34.104639,-118.17928,1843.0
8,"6253 Hollywood Blvd, Apt 705, Los Angeles, CA 90028",899000,Los Angeles,34.101954,-118.326369,1195.0
9,"1645 W 48th St, Los Angeles, CA 90062",2150000,Los Angeles,34.000249,-118.308573,10990.0
10,"5430 Smiley Dr, Los Angeles, CA 90016",2195000,Los Angeles,34.028863,-118.362698,4849.0
11,"1141 E Florence Ave, Unit 1141 1147, Los Angeles, CA 90001",5650000,Los Angeles,33.975098,-118.255086,10606.0
12,"2360 W 31st St, Los Angeles, CA 90018",1449000,Los Angeles,34.026236,-118.31982,2119.0
13,"8315 Blackburn Ave, Los Angeles, CA 90048",4299000,Los Angeles,34.072062,-118.370619,8720.0
14,"2025 Avenue, of the Stars Unit 207, Los Angeles, CA 90067",3188000,Los Angeles,34.057825,-118.415539,1555.0
15,"11023 Compton Ave, Los Angeles, CA 90059",539900,Los Angeles,33.935074,-118.246625,760.0
16,"2025 Avenue, of the Stars Unit 205, Los Angeles, CA 90067",2160000,Los Angeles,34.057825,-118.415539,1000.0
17,"118 W 118th St, Los Angeles, CA 90061",620000,Los Angeles,33.92621,-118.274712,1433.0
18,"812 N Genesee Ave, Los Angeles, CA 90046",1825000,Los Angeles,34.085795,-118.35812,2212.0
19,"10375 Wilshire Blvd, Apt 2A, Los Angeles, CA 90024",1995000,Los Angeles,34.067671,-118.428666,2555.0
20,"1229 N Wetherly Dr, Los Angeles, CA 90069",3995000,Los Angeles,34.092623,-118.388712,4154.0
21,"1639 E 90th St, Los Angeles, CA 90002",569999,Los Angeles,33.955502,-118.244606,1540.0
22,"825 N Croft Ave, Apt 103, Los Angeles, CA 90069",1649000,Los Angeles,34.08611,-118.374534,1782.0
23,"1823 Echo Park Ave, Los Angeles, CA 90026",759000,Los Angeles,34.085063,-118.253854,672.0
