Address,Latitude,Longitude,City
"1858 N Vermont Ave,Los Angeles, CA 90027Los Angeles, CA 90041Los Angeles, CA 90047",34.10478,-118.291556,Los Angeles
"8112 Melrose Ave,Los Angeles, CA 90046",34.083599,-118.366431,Los Angeles
"6521 S Sepulveda Blvd,Los Angeles, CA 90045",33.980205,-118.394775,Los Angeles
"3219 Glendale Blvd,Los Angeles, CA 90039",34.11838,-118.260819,Los Angeles
"7226 Beverly Blvd,Los Angeles, CA 90036",34.075982,-118.347166,Los Angeles
"5385 Whittier Blvd,Los Angeles, CA 90022",34.020009,-118.154337,Los Angeles
"10761 W Pico Blvd,Los Angeles, CA 90064",34.04108,-118.42686,Los Angeles
"6721 La Tijera Blvd,Los Angeles, CA 90045",33.977796,-118.371525,Los Angeles
"4905 Santa Monica Blvd,Los Angeles, CA 90029",34.09101,-118.29659,Los Angeles
"11714 Barrington Ct,Los Angeles, CA 90049",34.06413,-118.469542,Los Angeles
"143 N la Brea Ave,Los Angeles, CA 90036",34.07478,-118.34423,Los Angeles
"3377 Wilshire Blvd Ste 115,Los Angeles, CA 90010",34.061927,-118.297422,Los Angeles
"10509 W Pico Blvd,Los Angeles, CA 90064",34.045189,-118.419467,Los Angeles
"1880 Century Park E,Los Angeles, CA 90067",34.061442,-118.414369,Los Angeles
"6335 Wilshire Blvd,Los Angeles, CA 90048",34.063746,-118.36648,Los Angeles
"3229 Helms Ave,Los Angeles, CA 90034",34.030262,-118.384551,Los Angeles
"11513 Santa Monica Blvd,Los Angeles, CA 90025",34.045503,-118.452498,Los Angeles
"908 S Barrington Ave,Los Angeles, CA 90049",34.053228,-118.464871,Los Angeles
"222 N Western Ave,Los Angeles, CA 90004",34.07535,-118.30897,Los Angeles
"8432 W 3rd St,Los Angeles, CA 90048",34.073,-118.3743,Los Angeles
"8321 Lincoln Blvd,Los Angeles, CA 90045",33.962066,-118.421403,Los Angeles
"4771 W Adams Blvd,Los Angeles, CA 90016",34.032706,-118.34483,Los Angeles
"3767 Santa Rosalia Dr,Los Angeles, CA 90008",34.009704,-118.339085,Los Angeles
