Address,Latitude,Longitude,City
Kathryn Salerno Alexandria VA 22306,38.80484,-77.04692,Alexandria
2709 Popkins Ln Alexandria VA 22306,38.763782,-77.079519,Alexandria
6525 Montrose St Alexandria VA 22312,38.814896,-77.163324,Alexandria
3330 King St Alexandria VA 22302,38.824204,-77.085119,Alexandria
6701 Fort Hunt Rd Alexandria VA 22307,38.771817,-77.061056,Alexandria
6344 Beryl Rd Alexandria VA 22312,38.801775,-77.157499,Alexandria
2709 Popkins Ln Alexandria VA 22306,38.763782,-77.079519,Alexandria
6925 University Dr Alexandria VA 22307,38.766778,-77.074347,Alexandria
5927 Westchester St Alexandria VA 22310,38.790053,-77.12415,Alexandria
3434 Campbell Dr Alexandria VA 22303,38.800417,-77.091131,Alexandria
1115 Martha Custis Dr Alexandria VA 22302,38.842083,-77.077136,Alexandria
5720 Clermont Dr Alexandria VA 22310,38.794881,-77.110751,Alexandria
3600 Commonwealth Ave Alexandria VA 22305,38.837574,-77.057728,Alexandria
1101 Janneys Ln Alexandria VA 22302,38.815012,-77.082465,Alexandria
5651 Rayburn Avenue Alexandria VA 22311,38.833345,-77.125567,Alexandria
5801 Franconia Rd Alexandria VA 22310,38.783143,-77.132791,Alexandria
5801 Franconia Rd Alexandria VA 22310,38.783143,-77.132791,Alexandria
1701 N Beauregard Street Alexandria VA 22311,38.831785,-77.123278,Alexandria
8832 Linton Ln Alexandria VA 22308,38.719164,-77.066384,Alexandria
4646 Seminary Road Alexandria VA 22304,38.826398,-77.110884,Alexandria
6301 Beulah St Alexandria VA 22310,38.781289,-77.145295,Alexandria
2601 Cameron Mills Rd Alexandria VA 22302,38.828395,-77.073412,Alexandria
1005 Mount Vernon Avenue Alexandria VA 22301,38.816178,-77.055593,Alexandria
4101 Fairfax Pkwy Alexandria VA 22312,38.837969,-77.140855,Alexandria
3330 King Street Alexandria VA 22302,38.824204,-77.085119,Alexandria
6900 Harrison Ln Alexandria VA 22306,38.768826,-77.095008,Alexandria
7633 Telegraph Rd Alexandria VA 22315,38.749151,-77.140468,Alexandria
2310 Nordok Place Alexandria VA 22306,38.750031,-77.071382,Alexandria
6525 Montrose St Alexandria VA 22312,38.814896,-77.163324,Alexandria
3415 Lockheed Blvd Alexandria VA 22306,38.759093,-77.089258,Alexandria
7855 Morning View Ln Alexandria VA 22315,38.745472,-77.168386,Alexandria
5000 Polk Ave Alexandria VA 22304,38.821793,-77.115909,Alexandria
1501 Cameron St Alexandria VA 22314,38.808378,-77.055254,Alexandria
5651 Rayburn Ave Alexandria VA 22311,38.833345,-77.125567,Alexandria
7137 Beulah St Alexandria VA 22315,38.7609,-77.157177,Alexandria
530 S St Asaph St Alexandria VA 22314,38.799553,-77.046792,Alexandria
6116 N Kings Hwy Alexandria VA 22303,38.785113,-77.078501,Alexandria
2601 Commonwealth Ave Alexandria VA 22305,38.828163,-77.060208,Alexandria
8515 Old Mount Vernon Rd Alexandria VA 22309,38.727088,-77.093704,Alexandria
4015 Fielding St Alexandria VA 22309,38.742932,-77.100033,Alexandria
600 Russell Rd Alexandria VA 22301,38.812721,-77.06485,Alexandria
200 S. Whiting St. Alexandria VA 22304,38.812238,-77.136042,Alexandria
4116 Braddock Rd Alexandria VA 22312,38.834188,-77.152789,Alexandria
4643 Taney Ave Alexandria VA 22304,38.817716,-77.111387,Alexandria
6500 Quander Rd Alexandria VA 22307,38.775055,-77.071742,Alexandria
6400 Quander Rd Alexandria VA 22307,38.778789,-77.070671,Alexandria
8410 Old Mount Vernon Rd Alexandria VA 22309,38.729699,-77.094375,Alexandria
6301 Rose Hill Dr Alexandria VA 22310,38.78183,-77.117707,Alexandria
435 Ferdinand Day Dr Alexandria VA 22304,38.805451,-77.126643,Alexandria
8428 Fort Hunt Rd Alexandria VA 22308,38.728453,-77.061307,Alexandria
8484 Riverside Rd Alexandria VA 22308,38.728255,-77.068797,Alexandria
6560 Braddock Rd Alexandria VA 22312,38.818161,-77.168419,Alexandria
4700 Franconia Rd Alexandria VA 22310,38.790027,-77.113655,Alexandria
6520 Diana Ln Alexandria VA 22310,38.774812,-77.102151,Alexandria
9100 Cherrytree Dr Alexandria VA 22309,38.71014,-77.104248,Alexandria
1205 Waynewood Blvd Alexandria VA 22308,38.725188,-77.056351,Alexandria
6500 Quander Rd Alexandria VA 22307,38.775055,-77.071742,Alexandria
6500 Quander Rd Alexandria VA 22307,38.775055,-77.071742,Alexandria
6520 Braddock Rd Alexandria VA 22312,38.819464,-77.165235,Alexandria
2500 Parkers Ln Alexandria VA 22306,38.742281,-77.075021,Alexandria
5700 Sanger Ave Alexandria VA 22311,38.828,-77.131433,Alexandria
8505 Highland Ln Alexandria VA 22309,38.726093,-77.118479,Alexandria
8718 Old Mt Vernon Rd Alexandria VA 22309,38.720238,-77.096058,Alexandria
2000 W Ball Rd Anaheim CA 92804,33.816794,-117.952299,Anaheim
811 W. Lincoln Ave. Anaheim CA 92805,33.834036,-117.924925,Anaheim
6450 E. Serrano Anaheim CA 92807,33.829554,-117.760809,Anaheim
1500 W. Ball Rd. Anaheim CA 92802,33.8171,-117.934404,Anaheim
1926 Clearbrook Ln. Anaheim CA 92804,33.823251,-117.951396,Anaheim
601 N. Brookhurst Ave. Anaheim CA 92801,33.82415,-117.897707,Anaheim
830 S. Dale St. Anaheim CA 92801,33.82415,-117.897707,Anaheim
220 S. Imperial Hwy. Anaheim CA 92807,33.847081,-117.789627,Anaheim
260 S. Imperial Hwy. Anaheim CA 92807,33.846023,-117.789636,Anaheim
1090 The Highlands Dr. Anaheim CA 92808,33.845151,-117.741771,Anaheim
195 N. W.ern Ave. Anaheim CA 92801,33.82415,-117.897707,Anaheim
3731 Cerritos Anaheim CA 92804,33.810397,-118.015787,Anaheim
5001 Gerda Dr. Anaheim CA 92807,33.850955,-117.808143,Anaheim
900 S. Dale St. Anaheim CA 92804,33.819641,-117.982671,Anaheim
320 Danbrook St. Anaheim CA 92804,33.827575,-118.007257,Anaheim
229 S. Dale Ave. Anaheim CA 92804,33.828863,-117.986747,Anaheim
1411 S. Gilbert St. Anaheim CA 92804,33.81172,-117.968178,Anaheim
2627 Crescent Ave. Anaheim CA 92801,33.840923,-117.977741,Anaheim
1526 E. Romneya Dr. Anaheim CA 92805,33.850379,-117.896927,Anaheim
181 S. Del Giorgio Rd. Anaheim CA 92808,33.857001,-117.767106,Anaheim
100 S. Anaheim Blvd. Ste. 150 Anaheim CA 92805,33.835254,-117.913416,Anaheim
10802 Rustic Ln. Anaheim CA 92804,33.82415,-117.897707,Anaheim
521 W. Water St. Anaheim CA 92805,33.827693,-117.918601,Anaheim
810 N. Gilbert St. Anaheim CA 92801,33.842611,-117.967492,Anaheim
1800 Ball Rd. Anaheim CA 92804,33.816291,-117.947432,Anaheim
1051 S. Sunkist St. Anaheim CA 92806,33.823177,-117.881202,Anaheim
1300 S. Knott Anaheim CA 92804,33.814903,-118.010195,Anaheim
1123 W. Romneya Dr. Anaheim CA 92801,33.851366,-117.932609,Anaheim
400 S. Imperial Hwy. Anaheim CA 92807,33.845234,-117.789262,Anaheim
504 E. S. St. Anaheim CA 92805,33.827493,-117.906502,Anaheim
