,shopping,latitude,longitude,City
0,"7660 Beverly Blvd,Los Angeles, CA 90036",34.075952,-118.356676,Los Angeles
1,"10250 Santa Monica Boulevard,Los Angeles, CA 90067",34.059485,-118.420449,Los Angeles
2,"8500 Beverly Blvd,Los Angeles, CA 90048",34.075868,-118.377544,Los Angeles
3,"2035 Hillhurst Ave,Los Angeles, CA 90027",34.108647,-118.287588,Los Angeles
4,"2738 Hyperion Ave,Los Angeles, CA 90027",34.107669,-118.271787,Los Angeles
5,"3760 S Centinela Ave,Los Angeles, CA 90066",34.004695,-118.434122,Los Angeles
6,"6350 W 3rd St,Los Angeles, CA 90036",34.07127,-118.36061,Los Angeles
7,"1751 Westwood Blvd,Los Angeles, CA 90024",34.050893,-118.438209,Los Angeles
8,"2716 N San Fernando Rd,Los Angeles, CA 90065",34.109702,-118.242719,Los Angeles
9,"1601 N Vermont Ave,Los Angeles, CA 90027",34.100305,-118.292076,Los Angeles
10,"5455 Hollywood Blvd,Los Angeles, CA 90027",34.101934,-118.308808,Los Angeles
11,"5080 Obama Blvd,Los Angeles, CA 90016",34.05513,-118.25703,Los Angeles
12,"317 S Broadway Ste 35,Los Angeles, CA 90013",34.050659,-118.248526,Los Angeles
13,"5423 W Pico Blvd,Los Angeles, CA 90019Los Angeles, CA 90012",34.04873,-118.35642,Los Angeles
14,"621 S Western Ave Ste 107,Los Angeles, CA 90005",34.0628,-118.30928,Los Angeles
15,"4520 W Sunset Blvd,Los Angeles, CA 90027",34.097896,-118.288002,Los Angeles
16,"2925 Division St,Los Angeles, CA 90065",34.103247,-118.23559,Los Angeles
17,"1115 N Alvarado St,Los Angeles, CA 90026",34.07806,-118.26338,Los Angeles
18,"3293 Fletcher Dr,Los Angeles, CA 90065",34.118022,-118.241648,Los Angeles
19,"2900 Hyperion Ave,Los Angeles, CA 90027",34.109326,-118.271045,Los Angeles
20,"4140 Crenshaw Blvd,Los Angeles, CA 90008",34.0089,-118.33489,Los Angeles
21,"1007 Cypress Ave,Los Angeles, CA 90065",34.093578,-118.225354,Los Angeles
22,"7316 Compton Ave,Los Angeles, CA 90001",33.973423,-118.247467,Los Angeles
23,"11840 Wilmington Ave,Los Angeles, CA 90059",33.925627,-118.236835,Los Angeles
24,"4632 Santa Monica Blvd,Los Angeles, CA 90029",34.090729,-118.290407,Los Angeles
25,"255 S Hill St,Los Angeles, CA 90012",34.05197,-118.24904,Los Angeles
26,"114 Japanese Village Plaza Mall,Los Angeles, CA 90012",34.049018,-118.239733,Los Angeles
27,"1524 S Flower St,Los Angeles, CA 90015",34.036993,-118.268543,Los Angeles
28,"304 S Los Angeles St,Los Angeles, CA 90013",34.04822,-118.244806,Los Angeles
29,"5817 N Figueroa St,Los Angeles, CA 90042",34.110509,-118.191295,Los Angeles
30,"1601 E Imperial Hwy Ste 103B,Los Angeles, CA 90059",34.05513,-118.25703,Los Angeles
31,"606 E 1st St,Los Angeles, CA 90012",34.04863,-118.236806,Los Angeles
32,"425 E. 7th St,los angeles, CA 90014",34.041563,-118.247727,Los Angeles
33,"221 W 8th St,Los Angeles, CA 90014",34.043551,-118.254145,Los Angeles
34,"1803 N Main St,Los Angeles, CA 90031",34.066841,-118.221181,Los Angeles
35,"1101 E Washington Blvd,Los Angeles, CA 90021",34.02548,-118.25222,Los Angeles
36,"1549 Echo Park Ave,Los Angeles, CA 90026",34.081244,-118.254762,Los Angeles
37,"3455 City Terrace Dr,Los Angeles, CA 90063",34.052541,-118.188865,Los Angeles
38,"4920 Santa Monica Blvd,Los Angeles, CA 90029",34.090644,-118.296819,Los Angeles
39,"4907 Maplewood Ave,Los Angeles, CA 90004",34.080438,-118.309594,Los Angeles
40,"726 W Slauson Ave,Los Angeles, CA 90044",33.989003,-118.286659,Los Angeles
41,"6333 S Broadway,Los Angeles, CA 90003",33.981597,-118.278504,Los Angeles
42,"5702 York Blvd,Los Angeles, CA 90042",34.118664,-118.193499,Los Angeles
43,"10817 Venice Blvd,Los Angeles, CA 90034",34.017542,-118.409564,Los Angeles
44,"12121 W Pico Blvd,Los Angeles, CA 90064",34.02928,-118.45083,Los Angeles
